disease_group,epi_cells,AT2_cells,KRT8_DATP_n,KRT8_DATP_pct_AT2,KRT5KRT17_basaloid_n,KRT5KRT17_pct_epi,ECM_high_n,ECM_high_pct_epi
Normal,59446,16346,148,0.91,56,0.094,64,0.108
IPF,14322,1217,46,3.78,219,1.529,0,0.0
NSIP,1874,539,21,3.9,15,0.8,0,0.0
CTD-ILD,1462,354,4,1.13,13,0.889,0,0.0
IPAF,1327,78,9,11.54,3,0.226,0,0.0
cHP,228,75,1,1.33,9,3.947,0,0.0
CWP,1523,575,12,2.09,21,1.379,0,0.0
ILD (other),1422,343,7,2.04,21,1.477,0,0.0
ILD/HP,61,33,0,0.0,5,8.197,0,0.0
Sarcoidosis,2908,351,7,1.99,9,0.309,0,0.0
COVID-19,2386,779,25,3.21,0,0.0,137,5.742
