disease_group,AT1,AT2,Airway Epithelium,Alveolar Epithelium,B cells,CD4+ T cells,CD8+ T cells,Cycling NK/T cells,Dendritic cells,Distal Epithelium,Endothelial,Endothelial (Macro),Endothelial (Micro),Fibroblasts,Hematopoietic stem cells,Inflamed Epithelium,Lymphatic EC,Lymphoid,Macrophages,Mast cells,Mesothelial,Monocytes,Myeloid,Myofibroblasts,NK cells,Neuronal,Other Epithelium,PLIN2+ Fibroblasts,PNEC,Pericyte,Plasma cells,Proliferating (Epi),Proliferating (Immune),Proximal Epithelium,Smooth Muscle,Submucosal Gland,Tregs
Normal,0.65,0.8999999999999999,28.199999999999996,9.43,0.16,0.35000000000000003,0.11,0.08,0.06999999999999999,4.09,6.16,0.8500000000000001,0.44999999999999996,3.7800000000000002,0.01,0.01,0.83,11.21,0.51,0.09,0.05,0.09,27.450000000000003,0.03,0.1,0.05,0.08,0.02,0.01,0.03,0.12,0.22999999999999998,0.15,2.4299999999999997,0.5599999999999999,0.62,0.03
IPF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82,0.0,5.34,1.02,1.97,0.0,0.02,0.69,8.450000000000001,0.0,0.0,0.26,0.0,37.47,0.47000000000000003,0.0,0.0,0.0,0.43,0.06,0.27999999999999997,0.0,0.73,1.48,37.5,0.0,0.0,0.0
NSIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.57,0.0,7.180000000000001,1.21,2.2800000000000002,0.0,0.52,0.61,6.16,0.0,0.0,1.05,0.0,27.060000000000002,0.27999999999999997,0.0,0.0,0.0,0.74,0.0,0.8500000000000001,0.0,2.8899999999999997,1.05,32.56,0.0,0.0,0.0
CTD-ILD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.66,0.0,5.72,0.86,1.0699999999999998,0.0,0.08,1.0699999999999998,1.94,0.0,0.0,7.249999999999999,0.0,19.81,0.25,0.0,0.0,0.0,0.74,0.08,0.08,0.0,2.68,0.9900000000000001,42.71,0.0,0.0,0.0
IPAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9899999999999998,0.0,5.41,1.02,1.41,0.0,0.06999999999999999,0.74,6.1899999999999995,0.0,0.0,1.23,0.0,36.57,0.11,0.0,0.0,0.0,0.13999999999999999,0.0,0.04,0.0,0.5599999999999999,0.49,43.04,0.0,0.0,0.0
cHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,6.619999999999999,2.08,5.029999999999999,0.0,0.08,0.48,5.91,0.0,0.0,0.32,0.0,55.55,1.3599999999999999,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.16,3.5900000000000003,11.65,0.0,0.0,0.0
CWP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.62,0.0,10.24,2.68,0.77,0.0,0.03,1.52,11.37,0.0,0.0,1.52,0.0,25.64,0.3,0.0,0.0,0.0,0.3,0.0,2.79,0.0,0.66,0.72,22.82,0.0,0.0,0.0
ILD (other),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.260000000000001,0.0,5.4399999999999995,0.88,1.9300000000000002,0.0,0.02,0.51,3.65,0.0,0.0,0.83,0.0,60.17,0.13999999999999999,0.0,0.0,0.0,0.15,0.06999999999999999,0.5700000000000001,0.0,0.3,1.7399999999999998,17.36,0.0,0.0,0.0
ILD/HP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.77,0.0,4.01,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,76.44,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,2.01,5.26,0.0,0.0,0.0
Sarcoidosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6499999999999995,0.0,3.39,1.8399999999999999,2.02,0.0,0.31,0.22,4.41,0.0,0.0,0.35000000000000003,0.0,27.07,0.2,0.0,0.0,0.0,0.04,0.04,0.35000000000000003,0.0,0.29,0.76,51.07000000000001,0.0,0.0,0.0
COVID-19,5.72,5.74,4.6,0.0,0.97,5.96,3.37,2.86,0.6799999999999999,0.0,4.1000000000000005,0.0,0.0,21.01,0.0,0.0,0.0,0.0,27.85,1.1400000000000001,0.0,3.54,0.0,0.0,1.9300000000000002,2.08,1.52,0.0,0.0,0.0,5.2299999999999995,0.0,0.0,0.0,1.15,0.0,0.5700000000000001
