gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
UQCRQ,ENSG00000164405,-5.155,0.0,0.0,0.0499,1.7825,0.03,0.839
RPS14,ENSG00000164587,-3.3007,0.0,0.0,0.2493,2.457,0.121,0.924
RPL14,ENSG00000188846,-3.1797,0.0,0.0,0.2577,2.3363,0.128,0.92
RPS24,ENSG00000138326,-2.2698,0.0,0.0,0.4986,2.4051,0.231,0.925
PFDN5,ENSG00000123349,-4.5473,0.0,0.0,0.079,1.8493,0.046,0.849
TMSB4X,ENSG00000205542,-2.7392,0.0,0.0,0.3511,2.3451,0.155,0.906
S100A6,ENSG00000197956,-2.6895,0.0,0.0,0.3913,2.525,0.172,0.93
TPT1,ENSG00000133112,-2.5029,0.0,0.0,0.4444,2.5197,0.196,0.928
SLPI,ENSG00000124107,-3.0748,0.0,0.0,0.308,2.5957,0.145,0.928
RPL12,ENSG00000197958,-3.2332,0.0,0.0,0.2596,2.4416,0.127,0.925
ATP5F1E,ENSG00000124172,-4.1475,0.0,0.0,0.1186,2.1042,0.063,0.896
NDUFA4,ENSG00000189043,-4.9682,0.0,0.0,0.0611,1.9165,0.037,0.862
RPL35,ENSG00000136942,-2.8353,0.0,0.0,0.3099,2.2125,0.142,0.904
RPL34,ENSG00000109475,-3.1509,0.0,0.0,0.2753,2.4456,0.135,0.924
RPS23,ENSG00000186468,-3.9806,0.0,0.0,0.1511,2.3867,0.074,0.921
RPS3,ENSG00000149273,-2.3943,0.0,0.0,0.4602,2.4199,0.209,0.923
RACK1,ENSG00000204628,-2.6696,0.0,0.0,0.3492,2.2223,0.163,0.907
S100A11,ENSG00000163191,-3.6994,0.0,0.0,0.1478,1.9207,0.072,0.867
COX7A2,ENSG00000112695,-3.9998,0.0,0.0,0.112,1.7929,0.062,0.84
EEF1B2,ENSG00000114942,-3.6127,0.0,0.0,0.1598,1.956,0.077,0.87
FTL,ENSG00000087086,-2.8342,0.0,0.0,0.3676,2.6219,0.148,0.93
COX4I1,ENSG00000131143,-4.7472,0.0,0.0,0.07,1.8823,0.036,0.862
UBA52,ENSG00000221983,-4.0887,0.0,0.0,0.1218,2.0748,0.063,0.886
RPL10A,ENSG00000198755,-3.1249,0.0,0.0,0.2497,2.179,0.126,0.897
FABP5,ENSG00000164687,-4.3925,0.0,0.0,0.0972,2.0442,0.046,0.867
FTH1,ENSG00000167996,-3.784,0.0,0.0,0.1795,2.4742,0.078,0.928
RPS4X,ENSG00000198034,-2.9527,0.0,0.0,0.3118,2.4148,0.145,0.922
TMSB10,ENSG00000034510,-4.3861,0.0,0.0,0.0986,2.0629,0.046,0.888
FAU,ENSG00000149806,-4.094,0.0,0.0,0.1329,2.2719,0.065,0.915
RPS13,ENSG00000110700,-4.3151,0.0,0.0,0.1198,2.3873,0.062,0.921
TXN,ENSG00000136810,-4.3391,0.0,0.0,0.088,1.7822,0.047,0.835
RPL10,ENSG00000147403,-2.785,0.0,0.0,0.3705,2.5544,0.168,0.929
RPL23A,ENSG00000198242,-3.0366,0.0,0.0,0.2788,2.2881,0.128,0.906
RPL11,ENSG00000142676,-2.7434,0.0,0.0,0.3691,2.4726,0.173,0.928
RPL29,ENSG00000162244,-3.5553,0.0,0.0,0.1976,2.3237,0.091,0.914
RPS25,ENSG00000118181,-3.516,0.0,0.0,0.2017,2.3081,0.101,0.916
RPL24,ENSG00000114391,-3.1463,0.0,0.0,0.2606,2.3079,0.125,0.915
HINT1,ENSG00000169567,-3.9101,0.0,0.0,0.1222,1.8387,0.065,0.851
OAZ1,ENSG00000104904,-3.7888,0.0,0.0,0.1403,1.9408,0.076,0.862
RPL18,ENSG00000063177,-2.7537,0.0,0.0,0.3506,2.365,0.16,0.921
RPL30,ENSG00000156482,-4.0613,0.0,0.0,0.1417,2.3666,0.072,0.922
RPL7,ENSG00000147604,-3.5638,0.0,0.0,0.183,2.1645,0.094,0.889
RPS3A,ENSG00000145425,-3.3754,0.0,0.0,0.228,2.3666,0.114,0.922
RPLP0,ENSG00000089157,-2.6095,0.0,0.0,0.3864,2.3586,0.178,0.923
RPL6,ENSG00000089009,-2.8858,0.0,0.0,0.3152,2.3303,0.148,0.919
