gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
SFTA2,ENSG00000196260,-7.9661,2.684811531409499e-111,1.793185621828404e-107,0.0091,2.3026,0.01,0.919
SLPI,ENSG00000124107,-5.387,3.8486283962318705e-110,8.56832968614422e-107,0.0619,2.5957,0.03,0.928
RPL30,ENSG00000156482,-5.7119,3.131503820435713e-110,8.56832968614422e-107,0.0451,2.3666,0.03,0.922
RPL12,ENSG00000197958,-5.0195,1.3012960412332059e-109,2.0165550339077396e-106,0.0752,2.4416,0.04,0.925
RPL34,ENSG00000109475,-5.3454,1.5096234720075906e-109,2.0165550339077396e-106,0.0601,2.4456,0.04,0.924
RPL28,ENSG00000108107,-3.995,5.119634499928555e-109,5.699006470837136e-106,0.1541,2.4592,0.085,0.925
RPS4X,ENSG00000198034,-5.0186,8.910552191380541e-109,8.501939726604377e-106,0.0744,2.4148,0.045,0.922
RPS13,ENSG00000110700,-5.8155,1.9591589711672418e-108,1.6356528460532508e-105,0.0423,2.3873,0.025,0.921
RPS14,ENSG00000164587,-4.7408,3.4086797500286195e-108,2.5296191167156835e-105,0.0918,2.457,0.05,0.924
RPL32,ENSG00000144713,-5.4435,8.599553493751897e-108,5.7436417784768915e-105,0.0562,2.4493,0.03,0.924
RPS12,ENSG00000112306,-4.1453,1.511868932594744e-107,9.179793273454815e-105,0.1459,2.5831,0.07,0.929
RPS15A,ENSG00000134419,-4.8888,8.807806157449443e-107,4.902278110467069e-104,0.081,2.4029,0.045,0.918
RPL37,ENSG00000145592,-4.3813,2.72249959062018e-106,1.3987365204424756e-103,0.1137,2.371,0.06,0.921
RPL8,ENSG00000161016,-4.386,3.6518067317138026e-106,1.7421726543654635e-103,0.1147,2.4013,0.06,0.924
RPL18A,ENSG00000105640,-4.6336,4.381909887869696e-106,1.9511184094054465e-103,0.096,2.3862,0.055,0.92
FAU,ENSG00000149806,-5.2251,9.08686582258835e-106,3.7931985518167246e-103,0.0606,2.2719,0.035,0.915
SFTPC,ENSG00000168484,-3.0769,1.4176385710881618e-105,5.569651774292843e-103,0.3612,3.0487,0.129,0.972
RPS3,ENSG00000149273,-4.2875,2.7684483458755706e-105,1.0272481390057186e-102,0.1238,2.4199,0.065,0.923
RPL29,ENSG00000162244,-5.0929,3.04712386507885e-105,1.0711442260453493e-102,0.068,2.3237,0.035,0.914
RPS8,ENSG00000142937,-4.1655,3.744762837411696e-105,1.250563549553636e-102,0.1361,2.4447,0.07,0.926
RPS15,ENSG00000115268,-4.6106,8.726087931909358e-105,2.7753114903439336e-102,0.0967,2.3655,0.045,0.924
RPL10,ENSG00000147403,-3.8794,1.167609698696697e-104,3.5447568989069273e-102,0.1735,2.5544,0.085,0.929
RPL22,ENSG00000116251,-4.7881,1.6345126380310916e-104,4.1988115036191005e-102,0.0799,2.2095,0.045,0.911
RPL14,ENSG00000188846,-4.4469,1.5893012199966767e-104,4.1988115036191005e-102,0.107,2.3363,0.06,0.92
NAPSA,ENSG00000131400,-3.1459,1.568699991008955e-104,4.1988115036191005e-102,0.284,2.5145,0.134,0.954
RPLP1,ENSG00000137818,-3.8873,1.6286589560157432e-104,4.1988115036191005e-102,0.1764,2.6121,0.08,0.931
RPS27,ENSG00000177954,-3.9872,2.468448019128133e-104,6.106209007317334e-102,0.1575,2.4993,0.08,0.925
RPLP2,ENSG00000177600,-3.9641,4.1108540262160436e-104,9.805855014677485e-102,0.1524,2.3806,0.08,0.922
RPS3A,ENSG00000145425,-4.1884,5.726232513124585e-104,1.3188105846606585e-101,0.1297,2.3666,0.07,0.922
NPC2,ENSG00000119655,-4.0381,1.1484469472065137e-103,2.556825720130768e-101,0.1481,2.4338,0.07,0.929
RPS6,ENSG00000137154,-4.2815,1.593658514961883e-103,3.433562974654973e-101,0.1229,2.3916,0.06,0.919
RPS16,ENSG00000105193,-4.5644,2.6060808671335915e-103,5.4393794098703925e-101,0.0971,2.2993,0.05,0.911
RPL11,ENSG00000142676,-3.9833,5.531542424703933e-103,1.1195506622605324e-100,0.1562,2.4726,0.075,0.928
RPL24,ENSG00000114391,-4.2148,9.063093710048635e-103,1.780364790865142e-100,0.1242,2.3079,0.065,0.915
RPS23,ENSG00000186468,-4.3405,1.0261234295509918e-102,1.9581366817060212e-100,0.1177,2.3867,0.06,0.921
SFTPA2,ENSG00000185303,-3.5973,1.5483091767315748e-102,2.8725436087194965e-100,0.2188,2.6488,0.095,0.938
RPS5,ENSG00000083845,-4.32,2.536092977247173e-102,4.577990539198343e-100,0.1138,2.2751,0.06,0.91
RPL26,ENSG00000161970,-4.5474,2.6374889301849243e-102,4.578492389587802e-100,0.0967,2.2623,0.055,0.906
GSTP1,ENSG00000084207,-4.3236,2.673472124478579e-102,4.578492389587802e-100,0.1118,2.2399,0.06,0.912
RPS21,ENSG00000171858,-4.4851,4.7360973005381474e-102,7.908098467573572e-100,0.0989,2.2166,0.05,0.914
RPL18,ENSG00000063177,-4.1828,4.880957348954006e-102,7.951198569186294e-100,0.1301,2.365,0.06,0.921
RPL39,ENSG00000198918,-4.0897,7.656665812481276e-102,1.2175921657514868e-99,0.141,2.4016,0.07,0.92
RPS25,ENSG00000118181,-4.1094,1.0114157282728404e-101,1.5709873602637911e-99,0.1336,2.3081,0.065,0.916
RPL7A,ENSG00000148303,-4.0874,2.6703281990736917e-101,4.053436827639361e-99,0.1375,2.3384,0.065,0.92
RPS27A,ENSG00000143947,-4.0019,2.8841832559820363e-101,4.280768881489783e-99,0.1477,2.3683,0.07,0.921
