gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
SFTPB,ENSG00000168878,-0.3238,0.0,0.0,2.3548,2.9474,0.993,0.998
SFTPC,ENSG00000168484,-0.3999,0.0,0.0,2.3106,3.0487,0.947,0.972
MALAT1,ENSG00000251562,-0.4419,0.0,0.0,2.21,3.0021,0.944,0.994
SLPI,ENSG00000124107,-0.2966,3.0074048331136645e-295,3.2675453511779964e-292,2.1134,2.5957,0.942,0.928
MT-CO1,ENSG00000198804,-0.2493,1.345962220016033e-257,1.169910361637936e-254,2.2363,2.6581,0.95,0.945
SFTPA1,ENSG00000122852,-0.3048,6.813705799322805e-253,4.935394233976152e-250,2.1798,2.6926,0.929,0.941
RPL10,ENSG00000147403,-0.1756,4.938926841749846e-251,3.0663680077492614e-248,2.2617,2.5544,0.993,0.929
RPLP1,ENSG00000137818,-0.178,2.8578434377390757e-248,1.5525234475517529e-245,2.3088,2.6121,0.997,0.931
RPS12,ENSG00000112306,-0.1858,5.3343933373833035e-248,2.575919271585315e-245,2.2709,2.5831,0.987,0.929
SFTPA2,ENSG00000185303,-0.3057,2.3270344546354444e-247,1.0113291739845642e-244,2.143,2.6488,0.924,0.938
RPL11,ENSG00000142676,-0.1657,3.0331921055922405e-247,1.1983866264458072e-244,2.2043,2.4726,0.984,0.928
EEF1A1,ENSG00000156508,-0.1729,4.1304255429956105e-247,1.495902450821577e-244,2.3203,2.6157,0.999,0.932
RPS3,ENSG00000149273,-0.1753,3.117793167645166e-241,1.0423022389681455e-238,2.143,2.4199,0.972,0.923
MT-CO2,ENSG00000198712,-0.2225,7.587585097081062e-239,2.3554032022795927e-236,2.2312,2.6033,0.954,0.942
FTL,ENSG00000087086,-0.1846,1.2899867767637524e-237,3.737521687876845e-235,2.307,2.6219,0.993,0.93
FTH1,ENSG00000167996,-0.1433,7.460113586054465e-233,2.0263533528120438e-230,2.2402,2.4742,0.995,0.928
RPS14,ENSG00000164587,-0.1598,5.1663065936867045e-232,1.320751085656613e-229,2.1993,2.457,0.984,0.924
RPL13,ENSG00000167526,-0.1518,2.4689871643869763e-229,5.961232342458777e-227,2.2436,2.4926,0.994,0.927
RPS4X,ENSG00000198034,-0.178,4.6967579220645106e-229,1.0743215752259139e-226,2.1344,2.4148,0.965,0.922
RPL19,ENSG00000108298,-0.1444,5.4282279123387506e-229,1.1795539253512106e-226,2.1974,2.4288,0.985,0.924
RPS28,ENSG00000233927,-0.1627,5.761242264617565e-227,1.192302803906092e-224,2.2223,2.4877,0.979,0.926
RPS27,ENSG00000177954,-0.1827,1.2665728798057893e-225,2.5020571525618e-223,2.2021,2.4993,0.981,0.925
RPL32,ENSG00000144713,-0.162,1.882438725836627e-225,3.5569907402112956e-223,2.1891,2.4493,0.978,0.924
TPT1,ENSG00000133112,-0.1511,2.5188932395098063e-224,4.561295841212341e-222,2.2692,2.5197,0.994,0.928
RPS2,ENSG00000140988,-0.1581,1.7874787084533747e-218,3.1073529867753465e-216,2.1293,2.376,0.976,0.917
RPS6,ENSG00000137154,-0.1634,4.377116906259533e-216,7.31651925946305e-214,2.1355,2.3916,0.972,0.919
RPL34,ENSG00000109475,-0.1663,1.0519768841938728e-215,1.6932931624839154e-213,2.1794,2.4456,0.975,0.924
RPL28,ENSG00000108107,-0.1372,2.7524169587246825e-215,4.2721443223633825e-213,2.236,2.4592,0.989,0.925
RPL18A,ENSG00000105640,-0.1571,4.1980231285547555e-213,6.291244316103093e-211,2.14,2.3862,0.971,0.92
RPL8,ENSG00000161016,-0.1323,5.449794699405446e-213,7.894935921205356e-211,2.1909,2.4013,0.985,0.924
RPS23,ENSG00000186468,-0.1453,5.524491490252303e-212,7.744980650527906e-210,2.1581,2.3867,0.973,0.921
RPS15A,ENSG00000134419,-0.1702,4.594276789530861e-211,6.239602164781599e-209,2.1355,2.4029,0.964,0.918
RPS8,ENSG00000142937,-0.1442,1.1978309785685381e-210,1.5775071008663233e-208,2.2121,2.4447,0.984,0.926
S100A6,ENSG00000197956,-0.1312,6.215567881808051e-209,7.944958239511115e-207,2.3055,2.525,0.998,0.93
MGST1,ENSG00000008394,-0.23,1.9241453987624723e-208,2.3892388294347726e-206,1.9166,2.2479,0.919,0.933
RPS13,ENSG00000110700,-0.1454,5.049682539874843e-207,6.096088977304463e-205,2.1583,2.3873,0.973,0.921
MT-CO3,ENSG00000198938,-0.2061,5.460061547961856e-207,6.413358780389791e-205,2.2049,2.5436,0.951,0.941
RPL12,ENSG00000197958,-0.1348,1.682679557004546e-206,1.924454040721515e-204,2.2238,2.4416,0.988,0.925
RPL18,ENSG00000063177,-0.1368,7.140543382606009e-205,7.957128600206593e-203,2.151,2.365,0.976,0.921
RPL14,ENSG00000188846,-0.1555,1.2489644121497782e-204,1.3569998338007342e-202,2.0976,2.3363,0.965,0.92
RPS27A,ENSG00000143947,-0.1484,6.50503146441167e-204,6.776221679945726e-202,2.1369,2.3683,0.971,0.921
RPS24,ENSG00000138326,-0.1242,6.548580546657168e-204,6.776221679945726e-202,2.2068,2.4051,0.984,0.925
RPS3A,ENSG00000145425,-0.1472,1.8645666156938436e-201,1.8845131422803359e-199,2.137,2.3666,0.972,0.922
RPL30,ENSG00000156482,-0.1427,3.7833584166170644e-200,3.736926290594946e-198,2.1438,2.3666,0.97,0.922
NEAT1,ENSG00000245532,-0.2681,5.4422760620986314e-198,5.256029281306812e-196,2.0772,2.5014,0.929,0.971
RPL5,ENSG00000122406,-0.1852,7.695203295334868e-198,7.270294243809856e-196,2.0147,2.2907,0.936,0.915
RPS15,ENSG00000115268,-0.1244,2.2615798165758818e-197,2.0912395495401665e-195,2.17,2.3655,0.981,0.924
RPL9,ENSG00000163682,-0.1513,1.5989502818556333e-196,1.4477162343634547e-194,2.0833,2.3136,0.963,0.911
RPLP2,ENSG00000177600,-0.1489,3.605478244277395e-195,3.1978384591080727e-193,2.1471,2.3806,0.976,0.922
RPL23A,ENSG00000198242,-0.1654,1.6952158178819442e-193,1.4734815889029857e-191,2.0402,2.2881,0.95,0.906
RPL7A,ENSG00000148303,-0.1241,2.4397025353710744e-190,2.0390283112928248e-188,2.1456,2.3384,0.975,0.92
RPLP0,ENSG00000089157,-0.1109,2.4278330425177366e-190,2.0390283112928248e-188,2.1842,2.3586,0.987,0.923
RPS16,ENSG00000105193,-0.1491,3.85414263288496e-190,3.160396958965667e-188,2.0736,2.2993,0.959,0.911
RPS9,ENSG00000170889,-0.1358,5.212448524234387e-190,4.1950557937634533e-188,2.1022,2.3097,0.968,0.916
NAPSA,ENSG00000131400,-0.1823,8.840289429325865e-190,6.985435974518219e-188,2.216,2.5145,0.967,0.954
RPS19,ENSG00000105372,-0.1292,1.0204124210877976e-189,7.919129253656372e-188,2.1938,2.3993,0.982,0.922
