gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
SFTPB,ENSG00000168878,-0.8093,4.1873019525359246e-209,3.0351810485945845e-205,1.6819,2.9474,0.852,0.998
SFTPC,ENSG00000168484,-1.6756,8.034893576689834e-209,3.0351810485945845e-205,0.9543,3.0487,0.555,0.972
SFTPA1,ENSG00000122852,-2.3856,7.586946572461943e-198,1.9106460451649995e-194,0.5152,2.6926,0.305,0.941
SFTPA2,ENSG00000185303,-2.478,6.30026290380751e-197,1.1899621559566434e-193,0.4753,2.6488,0.278,0.938
MDK,ENSG00000110492,4.7087,6.875055183752107e-190,1.0388208382649433e-186,1.6861,0.0644,0.916,0.042
SLPI,ENSG00000124107,-1.4208,4.3017685424443416e-180,5.416643556361167e-177,0.9694,2.5957,0.561,0.928
MALAT1,ENSG00000251562,-0.5225,1.8143655784997982e-177,1.9582188493665681e-174,2.0899,3.0021,0.989,0.994
NAPSA,ENSG00000131400,-0.6565,1.2799857622770387e-166,1.2087865542503783e-163,1.5952,2.5145,0.857,0.954
FABP5,ENSG00000164687,-2.8233,8.899566937998699e-164,7.470692024064463e-161,0.2887,2.0442,0.197,0.867
PEBP4,ENSG00000134020,-3.4718,4.416384402177078e-160,3.336578415844782e-157,0.1645,1.826,0.119,0.847
CYB5A,ENSG00000166347,-0.6539,4.797065416530785e-156,3.294711747444553e-153,1.4634,2.3026,0.844,0.929
KRT17,ENSG00000128422,6.3444,9.105762930934153e-155,5.732836578600628e-152,1.5706,0.0192,0.811,0.012
SFTPD,ENSG00000133661,-2.182,1.6863150483516294e-154,9.800084761766586e-152,0.4461,2.0246,0.278,0.868
SLC34A2,ENSG00000157765,-0.6496,6.717754217178546e-154,3.6251880793417085e-151,1.4654,2.2989,0.825,0.942
SFTA2,ENSG00000196260,-0.7106,8.821661009520596e-154,4.4431765951285406e-151,1.407,2.3026,0.814,0.919
CTSH,ENSG00000103811,-0.5862,3.216716138686898e-153,1.5188931517362198e-150,1.5357,2.3055,0.873,0.938
MMP7,ENSG00000137673,3.1853,3.8768139554322916e-153,1.7229017313700566e-150,1.6736,0.1839,0.868,0.117
LRRK2,ENSG00000188906,-3.6958,3.7152677851236095e-149,1.559380450922715e-146,0.1342,1.7407,0.1,0.815
CRIP2,ENSG00000182809,3.6935,1.0608208527812022e-146,4.2181587067168335e-144,1.4321,0.1106,0.838,0.072
SOX4,ENSG00000124766,2.4681,2.068695653070772e-145,7.814497829474841e-143,1.677,0.303,0.916,0.184
MGST1,ENSG00000008394,-0.4719,5.5455564586901725e-145,1.9950799545430594e-142,1.6207,2.2479,0.908,0.933
COL1A1,ENSG00000108821,4.5881,1.0134109134444191e-143,3.4801452050329937e-141,1.4328,0.0595,0.798,0.043
FTL,ENSG00000087086,-0.4001,1.3910764399804073e-142,4.569383697413903e-140,1.9868,2.6219,0.989,0.93
IL32,ENSG00000008517,3.1009,4.505218721861797e-142,1.4182053101527448e-139,1.5651,0.1823,0.854,0.112
CD24,ENSG00000272398,3.4903,8.82501959817671e-142,2.6669209225690015e-139,1.494,0.1328,0.838,0.079
NEAT1,ENSG00000245532,-0.4497,5.686479877681816e-141,1.65235982599562e-138,1.8315,2.5014,0.954,0.971
DST,ENSG00000151914,4.2944,4.993817772010381e-140,1.397344195094016e-137,1.3423,0.0683,0.801,0.045
LAMP3,ENSG00000078081,-3.012,3.31398193657486e-139,8.941833403865382e-137,0.2098,1.6931,0.137,0.813
HOPX,ENSG00000171476,-0.5047,3.989078898253266e-139,1.0392238302173595e-136,1.5924,2.2593,0.868,0.929
LAMB3,ENSG00000196878,2.4465,6.75461380323532e-139,1.7010369094480947e-136,1.5383,0.2821,0.895,0.184
RPS3,ENSG00000149273,-0.3847,2.0748228530862668e-138,5.056544082279595e-136,1.8535,2.4199,0.957,0.923
EEF1A1,ENSG00000156508,-0.3466,4.4411106364827466e-138,1.0485184643320983e-135,2.057,2.6157,0.997,0.932
FN1,ENSG00000115414,3.5234,5.6220150567386e-138,1.2871007198078824e-135,1.4517,0.1262,0.817,0.082
TPT1,ENSG00000133112,-0.3567,1.721839708544058e-137,3.826029117073635e-135,1.9678,2.5197,0.992,0.928
RPS27,ENSG00000177954,-0.4026,4.856971270776346e-137,1.0484119414490086e-134,1.8907,2.4993,0.968,0.925
RPS12,ENSG00000112306,-0.3708,2.585256867902791e-136,5.425448788057107e-134,1.9976,2.5831,0.987,0.929
RPL11,ENSG00000142676,-0.3308,2.6623178130330435e-136,5.436165156071525e-134,1.9659,2.4726,0.992,0.928
IGFBP7,ENSG00000163453,3.4231,3.0724838913015754e-136,6.108583104943001e-134,1.5492,0.1443,0.814,0.091
RPS4X,ENSG00000198034,-0.3707,3.4318739183133153e-136,6.648155757142846e-134,1.8676,2.4148,0.97,0.922
RPL10,ENSG00000147403,-0.34,6.961083353649724e-136,1.3147746184205916e-133,2.0181,2.5544,0.997,0.929
PDLIM4,ENSG00000131435,5.6364,9.126353370214746e-136,1.6816975539505464e-133,1.2586,0.0252,0.765,0.017
RPS6,ENSG00000137154,-0.3968,1.5741281148244243e-135,2.831556644642506e-133,1.8164,2.3916,0.957,0.919
RPL13,ENSG00000167526,-0.3668,1.652792622347097e-135,2.9039182004261203e-133,1.9331,2.4926,0.978,0.927
NPC2,ENSG00000119655,-0.3748,4.852450710629266e-135,8.331878436091842e-133,1.8769,2.4338,0.968,0.929
MARCKSL1,ENSG00000175130,5.7639,1.257570475748961e-134,2.1113210987296446e-132,1.2937,0.0237,0.76,0.017
