gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
SFTPC,ENSG00000168484,-1.2639,3.0595799013325332e-136,1.5720121533046555e-132,1.2695,3.0487,0.571,0.972
KRT8,ENSG00000170421,0.7752,7.199909165582528e-106,1.8496566646381513e-102,2.3457,1.3706,1.0,0.706
SFTPA1,ENSG00000122852,-0.8354,4.336996270850524e-80,7.42782894654333e-77,1.509,2.6926,0.636,0.941
SFTPA2,ENSG00000185303,-0.8612,1.0342912073245235e-78,1.3285470558083506e-75,1.4581,2.6488,0.618,0.938
SLPI,ENSG00000124107,-0.6099,2.191645585794343e-62,2.2521350039622667e-59,1.7008,2.5957,0.707,0.928
SFTPD,ENSG00000133661,-1.0052,8.26386595296126e-58,7.076623877719159e-55,1.0086,2.0246,0.482,0.868
FABP5,ENSG00000164687,-1.0366,3.800475028083598e-53,2.789548670613361e-50,0.9964,2.0442,0.464,0.867
PGC,ENSG00000096088,-1.3605,4.5804715806030574e-52,2.9418078726423138e-49,0.7216,1.853,0.332,0.793
NPC2,ENSG00000119655,-0.448,1.3805796587482971e-45,7.881575874054167e-43,1.784,2.4338,0.757,0.929
DBI,ENSG00000155368,-0.7502,2.5123125325470736e-43,1.2908261792226865e-40,1.1972,2.0138,0.561,0.868
CLDN18,ENSG00000066405,-1.8092,2.7850709387767864e-42,1.3008813166759207e-39,0.3726,1.306,0.189,0.656
PLA2G1B,ENSG00000170890,-1.8654,5.075995318384622e-42,2.173371995488349e-39,0.3572,1.3018,0.179,0.642
CTSH,ENSG00000103811,-0.461,2.1110730723764266e-40,8.343610342976985e-38,1.6749,2.3055,0.743,0.938
SFTA2,ENSG00000196260,-0.5183,4.9125560643340396e-40,1.8029080756105927e-37,1.6076,2.3026,0.689,0.919
NAPSA,ENSG00000131400,-0.4216,1.0987041537725314e-39,3.763427961388844e-37,1.8773,2.5145,0.782,0.954
LAMP3,ENSG00000078081,-1.1316,7.522662117050891e-39,2.4157148723379676e-36,0.7727,1.6931,0.379,0.813
PEBP4,ENSG00000134020,-0.9629,8.293879541797818e-38,2.5067031226915997e-35,0.9367,1.826,0.45,0.847
CYB5A,ENSG00000166347,-0.4099,2.7330905136375083e-36,7.801455032816399e-34,1.7331,2.3026,0.761,0.929
SOD3,ENSG00000109610,-1.5662,2.520778964018658e-35,6.816717009014665e-33,0.4268,1.2641,0.221,0.649
