Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,population,gene_set_db
prerank,HALLMARK_BILE_ACID_METABOLISM,-0.7587228418248353,-1.4860475231532206,0.012526096033402923,0.21490049637961656,0.214,14/38,9.85%,HSD17B6;PRDX5;ABCA3;IDI1;CAT;FADS1;HSD17B4;DHCR24;SCP2;ACSL1;ALDH9A1;HSD17B11;ALDH1A1;PHYH,KRT8+ DATP,Hallmark
prerank,HALLMARK_PEROXISOME,-0.7396922537062556,-1.4614830002677415,0.012320328542094456,0.1518511771938613,0.288,18/47,10.45%,PRDX5;FDPS;IDI1;CAT;FADS1;HSD17B4;SLC25A4;DHCR24;SCP2;ACSL1;ALDH9A1;HSD17B11;SOD2;ALDH1A1;RDH11;ACSL4;ECH1;CADM1,KRT8+ DATP,Hallmark
prerank,HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.7197093174822895,-1.4322800771486905,0.024691358024691357,0.15037114622705952,0.39,20/52,11.00%,FABP5;FASN;SCD;LPL;TMEM97;FDPS;IDI1;EBP;ACAT2;LGMN;SQLE;HMGCS1;HMGCR;PMVK;DHCR7;TM7SF2;CD9;ECH1;MVD;PCYT2,KRT8+ DATP,Hallmark
prerank,HALLMARK_ALLOGRAFT_REJECTION,-0.7256066305061167,-1.4226860625897748,0.01642710472279261,0.12787467553167267,0.428,12/49,9.03%,C2;RPS3A;HLA-DRA;RPL9;RPS9;RPL39;CD74;B2M;RPS19;HLA-DMA;CTSS;CCND3,KRT8+ DATP,Hallmark
prerank,HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.7058423098773645,-1.376237295420078,0.03319502074688797,0.19074639100141175,0.626,5/37,6.70%,LAMP3;TXNIP;CD74;B2M;PSMA3,KRT8+ DATP,Hallmark
prerank,HALLMARK_KRAS_SIGNALING_UP,-0.6922172258339981,-1.3742291263505417,0.016260162601626018,0.16221139396147366,0.64,15/54,13.49%,SLPI;CA2;PIGR;TFPI;ETV1;RGS16;MALL;ETV5;CTSS;GADD45G;SDCCAG8;GUCY1A1;BMP2;TRIB1;ID2,KRT8+ DATP,Hallmark
prerank,HALLMARK_KRAS_SIGNALING_DN,-0.7040805642020714,-1.3638882174136684,0.08459869848156182,0.1562912700942666,0.686,4/23,7.88%,SELENOP;FGGY;BTG2;GPRC5C,KRT8+ DATP,Hallmark
prerank,HALLMARK_UV_RESPONSE_UP,-0.6667651100804903,-1.3247698846867866,0.034274193548387094,0.2184525706999408,0.826,27/75,13.94%,CA2;FOS;NFKBIA;JUNB;EPHX1;BTG1;CXCL2;BTG2;SLC25A4;CREG1;TST;ALDOA;AP2S1;TMBIM6;SULT1A1;SOD2;MAOA;AMD1;NUP58;CCND3;FOSB;BMP2;EPCAM;MRPL23;NR4A1;ACAA1;IL6ST,KRT8+ DATP,Hallmark
prerank,HALLMARK_COMPLEMENT,-0.6624508771071499,-1.3178780451279801,0.046747967479674794,0.2074016728144876,0.85,20/74,14.13%,CTSH;C2;CA2;APOC1;CD36;LGMN;CD59;SERPINA1;SERPING1;F3;CTSS;CTSC;S100A9;CPM;ANG;LAMP2;USP8;CEBPB;FDX1;C3,KRT8+ DATP,Hallmark
prerank,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.6383856326134832,-1.3037916512922525,0.006072874493927126,0.2163213261077463,0.89,87/174,22.56%,CYB5A;LDHB;NDUFA4;ATP6V0E1;ATP5PO;NDUFC2;COX7A2;MGST3;COX7C;SLC25A5;ATP5F1E;SLC25A4;UQCR10;ACAT1;UQCRB;MTRR;COX6C;NDUFB1;ATP5F1A;NDUFB8;MPC1;SLC25A6;ATP5MG;NDUFB5;COX4I1;ALDH6A1;UQCR11;POR;ECHS1;MRPS15;SURF1;ATP5F1B;ECH1;GPX4;COX6A1;PHYH;SUCLG1;UQCRQ;HSD17B10;ATP5PB;RHOT1;NDUFA2;ACAA2;COX7B;SLC25A3;OAT;COX17;SDHB;COX5B;COX7A2L;ATP5MC2;ACAA1;FDX1;ATP6V0B;UQCRC2;UQCRFS1;BDH2;NDUFS7;MDH1;LDHA;NDUFV2;IDH3B;ATP6V1G1;SLC25A11;NDUFS4;CYCS;ETFB;TIMM13;ECI1;SDHD;ISCU;NDUFB3;ATP5PD;NDUFS8;NDUFC1;NDUFA5;NDUFB6;TOMM22;MRPL11;NDUFA8;VDAC3;NDUFA6;NDUFB7;FH;COX8A;COX11;NDUFS2,KRT8+ DATP,Hallmark
prerank,HALLMARK_XENOBIOTIC_METABOLISM,-0.6484062882150096,-1.3003117644754345,0.032520325203252036,0.20230677833483063,0.896,25/83,13.60%,CYB5A;CA2;PMM1;DCXR;EPHX1;BLVRB;TMEM97;CD36;CAT;IGFBP4;DDT;PGRMC1;ALDH9A1;ADH5;TMBIM6;FBP1;MAOA;POR;ECH1;DHRS7;SPINT2;DHPS;CES1;ID2;ASL,KRT8+ DATP,Hallmark
prerank,HALLMARK_P53_PATHWAY,-0.6380926874609812,-1.2975551288042808,0.014227642276422764,0.1929960380709504,0.91,25/111,10.92%,AK1;LDHB;FOS;RPS12;NUPR1;TXNIP;PMM1;RPL18;DCXR;RACK1;EPHX1;RPL36;BTG1;BTG2;JUN;CEBPA;RGS16;DRAM1;ALOX15B;TOB1;SAT1;CCND3;NDRG1;TSC22D1;BMP2,KRT8+ DATP,Hallmark
prerank,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.4469397851761987,1.2650315610586993,0.0,1.0,0.152,10/90,2.18%,KRT8;KRT19;SFN;KRT18;RAB31;NAV2;SEMA3B;MYOF;CCND1;AREG,KRT8+ DATP,Hallmark
prerank,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.6406477503164377,-1.2456194404641219,0.1401673640167364,0.29796438817796805,0.98,9/33,13.57%,FTL;MGST1;JUNB;CAT;EGLN2;SOD2;GPX4;LAMTOR5;PRDX6,KRT8+ DATP,Hallmark
