leiden_cluster,n_cells,majority_ct,pct_majority,pct_normal,pct_ipf,pct_covid
0,22359,Myeloid,86.3,45.300000000000004,26.3,12.1
1,21556,Proximal Epithelium,67.10000000000001,40.300000000000004,36.5,0.8999999999999999
2,20106,Alveolar Epithelium,50.9,79.5,5.5,4.2
3,19842,Lymphoid,84.7,70.6,13.5,9.6
4,18750,Myeloid,94.5,72.2,14.6,3.0
5,17313,Myeloid,91.2,54.0,20.7,6.3
6,14314,Endothelial,58.599999999999994,67.5,15.1,4.1000000000000005
7,12193,Airway Epithelium,85.9,88.0,8.0,0.2
8,10806,Proximal Epithelium,53.900000000000006,44.7,28.199999999999996,5.2
9,10394,Airway Epithelium,86.7,87.7,7.1,0.7000000000000001
10,9028,Fibroblasts,86.3,48.4,10.2,31.900000000000002
11,6883,Airway Epithelium,85.9,86.3,6.800000000000001,3.3000000000000003
12,3679,Alveolar Epithelium,37.5,79.80000000000001,3.2,10.100000000000001
13,2076,Fibroblasts,46.1,65.7,11.799999999999999,8.0
14,1948,Myeloid,84.8,74.9,11.3,8.200000000000001
15,1832,Lymphatic EC,79.5,61.8,12.9,15.5
16,1618,Lymphoid,71.7,68.2,17.4,6.2
17,1600,Plasma cells,52.900000000000006,39.300000000000004,8.0,46.2
18,1260,Myeloid,96.8,39.2,30.2,0.4
19,750,Proliferating (Immune),52.7,46.7,28.1,7.7
20,640,Airway Epithelium,99.2,99.4,0.6,0.0
21,513,Myeloid,100.0,97.7,1.6,0.0
22,492,Submucosal Gland,96.3,97.39999999999999,0.4,0.6
23,48,Airway Epithelium,93.8,41.699999999999996,0.0,58.3
