Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes,disease,direction
MSigDB_Hallmark_2020,Coagulation,0.00012648487968676837,0.0029091522327956724,0,0,18.83606557377049,169.06099287032424,MMP7;CRIP2;TIMP1;CLU,IPF,up
MSigDB_Hallmark_2020,Apoptosis,0.0019771310784312125,0.022737007401958945,0,0,13.915254237288135,86.63788178621463,CDKN1A;TIMP1;CLU,IPF,up
MSigDB_Hallmark_2020,Estrogen Response Late,0.029681892335626427,0.1531133224647034,0,0,8.15625,28.68731016708343,MDK;KLK11,IPF,up
MSigDB_Hallmark_2020,E2F Targets,0.032481514495802055,0.1531133224647034,0,0,36.01863354037267,123.43888761418712,CDKN1A,IPF,up
MSigDB_Hallmark_2020,Hypoxia,0.043194270388563896,0.1531133224647034,0,0,6.590333716915995,20.707141068140317,CDKN1A;TMEM45A,IPF,up
MSigDB_Hallmark_2020,DNA Repair,0.04834074057306802,0.1531133224647034,0,0,22.90513833992095,69.39067186857434,BCAM,IPF,up
MSigDB_Hallmark_2020,Myogenesis,0.049137164805880824,0.1531133224647034,0,0,6.118716577540107,18.436547280997083,CDKN1A;CLU,IPF,up
MSigDB_Hallmark_2020,Complement,0.053256807813809884,0.1531133224647034,0,0,5.839632277834525,17.125478683045383,TIMP1;CLU,IPF,up
MSigDB_Hallmark_2020,Inflammatory Response,0.070894753679527,0.16708193681198144,0,0,4.935930735930736,13.063231143730311,CDKN1A;TIMP1,IPF,up
MSigDB_Hallmark_2020,Cholesterol Homeostasis,0.08311823671869356,0.16708193681198144,0,0,12.578260869565218,31.288312546365525,CLU,IPF,up
MSigDB_Hallmark_2020,Angiogenesis,0.08311823671869356,0.16708193681198144,0,0,12.578260869565218,31.288312546365525,TIMP1,IPF,up
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.09142799398007248,0.16708193681198144,0,0,4.235469448584203,10.132105125137908,VIM;TIMP1,IPF,up
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,0.09443761645894604,0.16708193681198144,0,0,10.93194706994329,25.797381483433536,CDKN1A,IPF,up
MSigDB_Hallmark_2020,heme Metabolism,0.17000543576110644,0.2542627928410448,0,0,5.6936758893280635,10.088765895089436,BCAM,IPF,up
MSigDB_Hallmark_2020,UV Response Dn,0.17344879640476868,0.2542627928410448,0,0,5.566183574879227,9.751245853660475,FHL2,IPF,up
MSigDB_Hallmark_2020,mTORC1 Signaling,0.17687846458507464,0.2542627928410448,0,0,5.444234404536862,9.431006008104044,CDKN1A,IPF,up
MSigDB_Hallmark_2020,p53 Pathway,0.20382909297155025,0.2757687728438621,0,0,4.631239935587762,7.365863999848129,CDKN1A,IPF,up
MSigDB_Hallmark_2020,Estrogen Response Early,0.2234849400791519,0.28556409010113853,0,0,4.163768115942029,6.239036984799695,FHL2,IPF,up
MSigDB_Hallmark_2020,Apical Junction,0.24267526338165119,0.2937647925146304,0,0,3.7812911725955205,5.354425876081383,MDK,IPF,up
MSigDB_Hallmark_2020,Interferon Gamma Response,0.2614106195997255,0.3006222125396843,0,0,3.46256038647343,4.645588645961135,CDKN1A,IPF,up
MSigDB_Hallmark_2020,Allograft Rejection,0.32919792383263147,0.34036122355847126,0,0,2.6137299771167046,2.904105228210893,TIMP1,IPF,up
MSigDB_Hallmark_2020,KRAS Signaling Up,0.3375872083015103,0.34036122355847126,0,0,2.5323868677905943,2.7499984346116264,TSPAN1,IPF,up
