Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes,direction
MSigDB_Hallmark_2020,Coagulation,0.0010382723572760482,0.02388026421734911,0,0,10.686206896551724,73.41634808025829,MMP7;CRIP2;TIMP1;CLU,Up_in_IPF
MSigDB_Hallmark_2020,Apoptosis,0.009742886148354628,0.11204319070607822,0,0,7.769423558897243,35.9818933505632,CDKN1A;TIMP1;CLU,Up_in_IPF
MSigDB_Hallmark_2020,E2F Targets,0.058851157556538955,0.30834314769205384,0,0,19.565217391304348,55.42324778855461,CDKN1A,Up_in_IPF
MSigDB_Hallmark_2020,Estrogen Response Late,0.08509910621002337,0.30834314769205384,0,0,4.4646464646464645,11.00061541267507,MDK;KLK11,Up_in_IPF
MSigDB_Hallmark_2020,DNA Repair,0.08701755125043464,0.30834314769205384,0,0,12.434782608695652,30.36133028081305,BCAM,Up_in_IPF
MSigDB_Hallmark_2020,Myogenesis,0.10611396279705954,0.30834314769205384,0,0,3.8952020202020203,8.737879374440034,CDKN1A;CLU,Up_in_IPF
MSigDB_Hallmark_2020,Hypoxia,0.11341387538787538,0.30834314769205384,0,0,3.735757575757576,8.131666615542395,CDKN1A;TMEM45A,Up_in_IPF
MSigDB_Hallmark_2020,Angiogenesis,0.13437588297062486,0.30834314769205384,0,0,7.582125603864735,15.218192793498861,TIMP1,Up_in_IPF
MSigDB_Hallmark_2020,Complement,0.13606841102898187,0.30834314769205384,0,0,3.3257575757575757,6.633547737722964,TIMP1;CLU,Up_in_IPF
MSigDB_Hallmark_2020,Cholesterol Homeostasis,0.14094607530171907,0.30834314769205384,0,0,7.1807780320366135,14.069857826901904,CLU,Up_in_IPF
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,0.14746846193967794,0.30834314769205384,0,0,6.819565217391304,13.053608998949123,CDKN1A,Up_in_IPF
MSigDB_Hallmark_2020,Inflammatory Response,0.16503017875846981,0.3163078426204005,0,0,2.9301435406698566,5.279025483036771,CDKN1A;TIMP1,Up_in_IPF
MSigDB_Hallmark_2020,heme Metabolism,0.21013514822607626,0.37088433867598003,0,0,4.5318840579710145,7.0697590357439415,BCAM,Up_in_IPF
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.22575568441146612,0.37088433867598003,0,0,2.362082362082362,3.515491683706178,TIMP1;VIM,Up_in_IPF
MSigDB_Hallmark_2020,UV Response Dn,0.28502719107738916,0.43314326513867013,0,0,3.1486349848331647,3.9520743652854975,FHL2,Up_in_IPF
