rank,gene_symbol,ensembl_id,log2FC,pvalue,padj
1,EEF1A1,ENSG00000156508,-0.1616100918528094,2.1916877761831055e-06,0.0038248394486747796
2,FTH1,ENSG00000167996,-0.12405293808465245,3.343393251131623e-06,0.0038248394486747796
3,NUPR1,ENSG00000176046,-0.8493699056623585,4.567132627561462e-06,0.0038248394486747796
4,MALAT1,ENSG00000251562,-0.23942831359825734,4.809606348537918e-06,0.0038248394486747796
5,S100A6,ENSG00000197956,-0.1590697229603153,8.008880535089311e-06,0.004448973613140355
6,FTL,ENSG00000087086,-0.21249636171426123,8.422681192616959e-06,0.004448973613140355
7,ARPC2,ENSG00000163466,-0.8262367298688362,9.790259444194431e-06,0.004448973613140355
8,MT-CO2,ENSG00000198712,-0.15345570076709913,1.3187712520995878e-05,0.00447208467443497
9,LDHB,ENSG00000111716,-0.5473487429873274,1.527621946265475e-05,0.00447208467443497
10,TTN,ENSG00000155657,-2.118322959369512,1.573442741039288e-05,0.00447208467443497
11,MDK,ENSG00000110492,1.449553286160366,1.6556283542293528e-05,0.00447208467443497
12,ZNF385B,ENSG00000144331,-1.8953104659447104,1.68704860399936e-05,0.00447208467443497
13,AK1,ENSG00000106992,-1.0667567008807255,2.0343743976203883e-05,0.004910042634771152
14,BLVRB,ENSG00000090013,-1.0175306850151877,2.3557128532404533e-05,0.004910042634771152
15,DBI,ENSG00000155368,-0.6443061482665706,2.36415797513527e-05,0.004910042634771152
16,TFPI,ENSG00000003436,-0.9962271818689216,2.6617850256564346e-05,0.004910042634771152
17,CSF3R,ENSG00000119535,-1.722842849228594,2.6718635647405175e-05,0.004910042634771152
18,CHI3L2,ENSG00000064886,-3.0693252984395185,2.7783957065665117e-05,0.004910042634771152
19,MT-CO1,ENSG00000198804,-0.1486216649765304,3.0008461113100053e-05,0.005004325376554772
20,SFTPC,ENSG00000168484,-0.25539470645633333,3.1463850214113624e-05,0.005004325376554772
21,CCDC141,ENSG00000163492,-2.9072310761007563,3.3889993370416544e-05,0.005007090997037923
22,TMEM45A,ENSG00000181458,1.8948978190411858,3.592663687396515e-05,0.005007090997037923
23,CTSH,ENSG00000103811,-0.4863152439534494,3.624314197248023e-05,0.005007090997037923
24,RPS10,ENSG00000124614,-1.13477941470543,3.777748630270675e-05,0.005007090997037923
25,PLA2G1B,ENSG00000170890,-1.5973966641425474,4.085537875783436e-05,0.005056193328642085
26,FGF7,ENSG00000140285,-17.028446468215925,4.132694955821887e-05,0.005056193328642085
27,LRRK2,ENSG00000188906,-1.3212343325137026,4.540811328989698e-05,0.0053497484583393436
28,HHIP-AS1,ENSG00000248890,-2.3066048654161264,4.7129616253135506e-05,0.005354261046472287
29,HHIP,ENSG00000164161,-1.6985194592242525,4.984156354078983e-05,0.005467103918043188
30,LPL,ENSG00000175445,-2.084166185255114,5.906284885862959e-05,0.006061398356458016
31,MMP7,ENSG00000137673,1.751917697531414,5.907052783722053e-05,0.006061398356458016
32,SDC2,ENSG00000169439,-2.1867492026998896,6.568997632638576e-05,0.0062097325270344525
33,SLPI,ENSG00000124107,-0.27591944116181133,6.611865670854481e-05,0.0062097325270344525
34,GKN2,ENSG00000183607,-1.7598223346712438,6.63724947875421e-05,0.0062097325270344525
35,KLK11,ENSG00000167757,1.245929268520784,7.197815678219998e-05,0.006541786192119375
36,CTSD,ENSG00000117984,-0.8014146756714925,8.668109643839064e-05,0.0075646456448098184
37,TNFAIP8,ENSG00000145779,-2.4931273720620846,8.798864786481084e-05,0.0075646456448098184
38,RPS17,ENSG00000182774,-1.0065135850124196,9.466326316725953e-05,0.007734698215649601
39,TKT,ENSG00000163931,-0.7136683245776488,9.482968576244402e-05,0.007734698215649601
40,MT-CO3,ENSG00000198938,-0.14114786749860442,0.00010366146514535872,0.008188582228311297
41,MT-ND4,ENSG00000198886,-0.15465903278503368,0.00010836314692518639,0.008188582228311297
42,BPIFB1,ENSG00000125999,1.401396145847437,0.00011278677584621208,0.008188582228311297
43,NPC2,ENSG00000119655,-0.33809873507396826,0.00011326551966227509,0.008188582228311297
44,B2M,ENSG00000166710,-0.12579982725543437,0.00011326551966227509,0.008188582228311297
45,SFTPA1,ENSG00000122852,-0.7238483112087029,0.00012925794605923572,0.009137100586987306
46,FASN,ENSG00000169710,-1.0080174373693718,0.00014008768328385466,0.009687367837520472
47,SCGB3A1,ENSG00000161055,0.6018535798508062,0.00015365393948961456,0.010399429393967317
48,CRTAC1,ENSG00000095713,-1.4326351534351263,0.0001865861464327985,0.012340862838491172
49,ARPC1B,ENSG00000130429,-0.9959486697148827,0.000190098170099361,0.012340862838491172
50,BRI3,ENSG00000164713,-0.7091539361831571,0.00021703708915958876,0.013807899612333035
51,RPL13,ENSG00000167526,-0.1656330473506502,0.0002464710524738747,0.015373027802341087
52,SFTPD,ENSG00000133661,-0.9885955680373801,0.000256383609973825,0.015683774294744948
53,MUC4,ENSG00000145113,1.3880923809310968,0.0002630425556595747,0.015787516406662396
54,CA2,ENSG00000104267,-1.6297623745812941,0.0002705671442251237,0.01593840899592812
55,P3H2,ENSG00000090530,-1.492820709385491,0.0002946351969738098,0.01704062839224889
56,SCNN1B,ENSG00000168447,1.0914398493104418,0.0003771400133130685,0.021422899684801266
57,CCNI,ENSG00000118816,-0.5285485962655042,0.0003894644077282622,0.021734847034800036
58,NAPSA,ENSG00000131400,-0.6693883673494305,0.00039749381153188153,0.02180047956005026
59,PGC,ENSG00000096088,-1.0000962626003003,0.00042093081985115287,0.022674075119980822
60,TIMP1,ENSG00000102265,1.051887286423982,0.0004276782480977206,0.022674075119980822
61,SFTPA2,ENSG00000185303,-0.6863287991929865,0.0004402045315496152,0.022955583850152887
62,MUC5B,ENSG00000117983,2.640536536478594,0.00046643457502135117,0.022996874613598173
63,SCD,ENSG00000099194,-1.2389147692854001,0.00047332430879042434,0.022996874613598173
64,ATP1B3,ENSG00000069849,-1.4146208962408409,0.0004771347074438145,0.022996874613598173
65,MT-ND1,ENSG00000198888,-0.12876650611229157,0.00047739015041735615,0.022996874613598173
66,CYP2A7,ENSG00000198077,3.70143617759141,0.00047955376458516777,0.022996874613598173
67,CRIP2,ENSG00000182809,0.8942951063914221,0.0004843730270704425,0.022996874613598173
68,SLC2A3,ENSG00000059804,-2.1265452570004832,0.0005197954924061429,0.024286693674266387
69,SNX25,ENSG00000109762,-1.1790106527731636,0.0005268097653330339,0.024286693674266387
70,SLC39A8,ENSG00000138821,-1.0970919395164143,0.0005543020420563851,0.025060305482273913
71,PEBP4,ENSG00000134020,-1.057784130681,0.0005593466486140987,0.025060305482273913
72,GCHFR,ENSG00000137880,-1.0468584591097174,0.0006163028787161892,0.026961434872667944
73,AKNA,ENSG00000106948,-2.4835154708673945,0.0006187314510231877,0.026961434872667944
74,FABP5,ENSG00000164687,-0.619750528998432,0.0006572376957775899,0.028252339327952885
75,KRT8,ENSG00000170421,-0.043710253893171735,0.0006839066249508874,0.029006759652916974
76,ABCA3,ENSG00000167972,-0.9407339012509943,0.0007073836486474369,0.02960772876773022
77,MT-ATP6,ENSG00000198899,-0.13656794172399755,0.0008001033815300365,0.03291265270592787
78,CEACAM6,ENSG00000086548,0.9414107116411998,0.0008070376960271532,0.03291265270592787
79,AQP5,ENSG00000161798,1.5439733437027758,0.0008685199932977368,0.034818730179919745
80,FMO2,ENSG00000094963,1.567478257321125,0.0008756675304601005,0.034818730179919745
81,ENSG00000278740,ENSG00000278740,2.8467524564609423,0.0009381038003064529,0.03684084183672626
82,ENSG00000282012,ENSG00000282012,-1.30178307428517,0.0010045397770962706,0.03896879306028338
83,CADM1,ENSG00000182985,-1.1264854725374533,0.0010496153412504212,0.040226824102621565
84,MFSD2A,ENSG00000168389,-0.8546620935520509,0.001127670585987599,0.042322787181528224
