rank,gene_symbol,ensembl_id,log2FC,pvalue,padj,direction
1,EEF1A1,ENSG00000156508,-0.162,2.19e-06,3.82e-03,↓ IPF
2,FTH1,ENSG00000167996,-0.124,3.34e-06,3.82e-03,↓ IPF
3,NUPR1,ENSG00000176046,-0.849,4.57e-06,3.82e-03,↓ IPF
4,MALAT1,ENSG00000251562,-0.239,4.81e-06,3.82e-03,↓ IPF
5,S100A6,ENSG00000197956,-0.159,8.01e-06,4.45e-03,↓ IPF
6,FTL,ENSG00000087086,-0.212,8.42e-06,4.45e-03,↓ IPF
7,ARPC2,ENSG00000163466,-0.826,9.79e-06,4.45e-03,↓ IPF
8,MT-CO2,ENSG00000198712,-0.153,1.32e-05,4.47e-03,↓ IPF
9,LDHB,ENSG00000111716,-0.547,1.53e-05,4.47e-03,↓ IPF
10,TTN,ENSG00000155657,-2.118,1.57e-05,4.47e-03,↓ IPF
11,MDK,ENSG00000110492,1.45,1.66e-05,4.47e-03,↑ IPF
12,ZNF385B,ENSG00000144331,-1.895,1.69e-05,4.47e-03,↓ IPF
13,AK1,ENSG00000106992,-1.067,2.03e-05,4.91e-03,↓ IPF
14,BLVRB,ENSG00000090013,-1.018,2.36e-05,4.91e-03,↓ IPF
15,DBI,ENSG00000155368,-0.644,2.36e-05,4.91e-03,↓ IPF
16,TFPI,ENSG00000003436,-0.996,2.66e-05,4.91e-03,↓ IPF
17,CSF3R,ENSG00000119535,-1.723,2.67e-05,4.91e-03,↓ IPF
18,CHI3L2,ENSG00000064886,-3.069,2.78e-05,4.91e-03,↓ IPF
19,MT-CO1,ENSG00000198804,-0.149,3.00e-05,5.00e-03,↓ IPF
20,SFTPC,ENSG00000168484,-0.255,3.15e-05,5.00e-03,↓ IPF
