leiden_epi_1.0,AT1,AT2,Airway Epithelium,Alveolar Epithelium,Distal Epithelium,Inflamed Epithelium,Other Epithelium,PNEC,Proliferating (Epi),Proximal Epithelium,Submucosal Gland
0,0,0,532,0,9,0,6,1,102,6769,0
1,0,28,4,2153,4317,0,0,0,65,19,0
2,0,0,5390,0,3,0,20,4,31,362,1
3,0,0,346,0,2,0,3,0,15,5380,0
4,7,5,979,176,216,0,1,0,157,4166,1
5,1,1,5247,0,1,0,1,0,9,223,2
6,0,0,3746,0,0,0,0,0,33,596,5
7,0,0,3788,0,0,0,1,0,8,195,8
8,1227,0,7,1312,1053,0,39,0,4,9,0
9,0,1,839,0,2,0,2,0,57,2706,18
10,308,1862,606,132,209,1,194,39,16,95,0
11,0,0,2897,0,1,0,0,0,2,125,0
12,0,11,24,1375,1393,0,2,0,80,16,0
13,0,0,558,3,263,0,0,0,76,1749,0
14,2,8,7,2290,170,0,0,0,6,4,0
15,50,11,16,950,807,0,13,0,70,402,0
16,0,0,1809,2,0,0,0,0,14,156,1
17,0,0,1522,0,8,0,0,0,5,188,0
18,0,0,1376,0,1,0,0,0,7,59,0
19,0,1,1386,0,0,0,0,0,2,24,0
20,0,0,5,1299,26,0,0,0,0,0,0
21,0,0,1267,0,0,0,0,0,0,5,0
22,0,0,1,725,507,0,0,0,21,1,0
23,0,0,720,0,0,0,0,0,1,515,0
24,0,0,0,1068,60,0,0,0,6,5,0
25,0,0,935,0,0,0,0,0,0,2,0
26,0,0,29,1,0,0,1,2,1,3,751
27,0,0,699,0,0,0,0,0,0,7,0
28,0,0,634,0,0,0,0,0,0,5,0
29,0,0,4,527,4,0,0,0,0,0,0
30,0,0,515,0,0,0,0,0,0,9,0
31,7,0,357,0,1,0,19,0,0,9,0
32,0,0,147,0,0,0,0,0,0,1,1
33,0,0,110,0,1,0,1,0,0,1,1
34,0,0,64,0,0,0,0,0,0,0,0
35,0,0,0,0,0,63,0,0,0,0,0
