leiden_epi_1.0,Acute (COVID-19),Chronic (IPF/ILD),Normal Control
0,78,6028,1313
1,12,1886,4688
2,25,394,5392
3,137,4579,1030
4,17,4030,1661
5,1,219,5265
6,0,603,3777
7,0,188,3812
8,501,313,2837
9,12,2263,1350
10,1469,226,1767
11,0,122,2903
12,14,537,2350
13,3,1594,1052
14,10,79,2398
15,77,1066,1176
16,0,163,1819
17,4,177,1542
18,0,60,1383
19,23,23,1367
20,0,11,1319
21,0,3,1269
22,0,19,1236
23,0,427,809
24,0,26,1113
25,0,1,936
26,1,5,782
27,0,6,700
28,0,4,635
29,0,4,531
30,0,9,515
31,1,10,382
32,0,1,148
33,1,2,111
34,0,0,64
35,0,49,14
