nhood_annotation,n_sig,mean_logFC,med_FDR,contrast
AT1,55,-2.4422852075912784,0.015727888453288014,IPF_vs_Normal
AT2,46,-2.8647312191027625,0.019853781534877296,IPF_vs_Normal
Airway Epithelium,1825,-3.065252265792162,0.011822418254009693,IPF_vs_Normal
Alveolar Epithelium,672,-3.0406062587112954,0.012476886202375661,IPF_vs_Normal
B cells,19,-2.482342287623364,0.03549049500897769,IPF_vs_Normal
CD4+ T cells,42,-2.429337885220731,0.04305024222756715,IPF_vs_Normal
CD8+ T cells,7,-1.873054989915437,0.0274861169659066,IPF_vs_Normal
Cycling NK/T cells,4,2.308576829172395,0.024181371310852504,IPF_vs_Normal
Distal Epithelium,506,-0.846746195270735,0.007502712541247153,IPF_vs_Normal
Endothelial,336,-2.3737088501025894,0.02577426490062013,IPF_vs_Normal
Endothelial (Macro),388,2.2484970950408867,0.00020155050697755552,IPF_vs_Normal
Endothelial (Micro),39,-0.3434565762866877,0.012899730981653283,IPF_vs_Normal
Fibroblasts,332,-0.7894729752410337,0.025406676427191213,IPF_vs_Normal
Lymphatic EC,72,-0.7797033638213493,0.021182408823896604,IPF_vs_Normal
Lymphoid,985,-1.0763055982863132,0.013242917400592103,IPF_vs_Normal
Macrophages,62,0.12600672335568536,0.038919262030497115,IPF_vs_Normal
Mesothelial,69,3.391094070653974,3.492543129250397e-05,IPF_vs_Normal
Monocytes,3,0.9104924674752173,0.03662171421657718,IPF_vs_Normal
Myeloid,3704,0.7250707105165054,0.0023807591433353797,IPF_vs_Normal
Myofibroblasts,8,2.805964240441778,2.7972302084665207e-05,IPF_vs_Normal
NK cells,5,-2.2822479459568408,0.04556130568554722,IPF_vs_Normal
Neuronal,3,1.5620428475415051,0.036103201622732874,IPF_vs_Normal
PLIN2+ Fibroblasts,11,3.4787427104382846,9.758769026878331e-08,IPF_vs_Normal
Pericyte,22,1.8852668927908345,0.004740348668768362,IPF_vs_Normal
Plasma cells,11,-3.0116480773532333,0.06530714715434109,IPF_vs_Normal
Proliferating (Epi),14,0.2631419737444414,0.01404898742526432,IPF_vs_Normal
Proliferating (Immune),59,2.674542359580327,0.0011957548789304088,IPF_vs_Normal
Proximal Epithelium,2096,3.1695602935211613,5.916352055051588e-05,IPF_vs_Normal
Smooth Muscle,28,-0.778789325937156,0.036816162433668725,IPF_vs_Normal
Submucosal Gland,26,-3.4591178429359672,0.013430854377905171,IPF_vs_Normal
AT1,97,3.7872597944509994,8.121456070262194e-08,COVID_vs_Normal
AT2,77,4.632431426338749,3.544311177635823e-10,COVID_vs_Normal
Airway Epithelium,48,3.3738063550786777,1.2155065258063435e-06,COVID_vs_Normal
Alveolar Epithelium,7,1.6295832618616184,0.010705489348257956,COVID_vs_Normal
B cells,14,2.3243542927138017,0.0020057727498265857,COVID_vs_Normal
CD4+ T cells,144,3.644009996180662,8.480325792832068e-08,COVID_vs_Normal
CD8+ T cells,37,4.818049886200247,2.1715887828760325e-11,COVID_vs_Normal
Cycling NK/T cells,36,5.484852205547534,1.196406204760175e-09,COVID_vs_Normal
Dendritic cells,3,2.828833357531996,0.001513405100767077,COVID_vs_Normal
Distal Epithelium,8,2.422336291569714,0.005431940432783239,COVID_vs_Normal
Endothelial,57,3.1919587895721877,6.706389344666712e-05,COVID_vs_Normal
Endothelial (Macro),40,3.4432950852855315,0.003218844096745821,COVID_vs_Normal
Fibroblasts,398,4.5493142381876845,4.041101928377305e-09,COVID_vs_Normal
Lymphatic EC,28,2.612350904951635,0.0009308783571592673,COVID_vs_Normal
Lymphoid,132,2.5776222480384496,0.004263225856916913,COVID_vs_Normal
Macrophages,317,5.313900345524963,3.740474866910542e-10,COVID_vs_Normal
Mast cells,9,3.1822425424684204,2.7920911505763555e-05,COVID_vs_Normal
Mesothelial,17,3.9016942692617693,0.0020658489151867735,COVID_vs_Normal
Monocytes,29,5.0761045919577805,1.6670218347939023e-10,COVID_vs_Normal
Myeloid,289,3.0737709167779883,0.002726767881974388,COVID_vs_Normal
NK cells,17,3.2532473729798927,4.5202739577621213e-07,COVID_vs_Normal
Neuronal,16,4.427089992310405,1.1952079996225503e-09,COVID_vs_Normal
Other Epithelium,1,4.10789674869561,6.285019191544228e-09,COVID_vs_Normal
PLIN2+ Fibroblasts,2,3.410754020201038,0.012320580094928691,COVID_vs_Normal
Pericyte,2,2.729456427413772,0.06530136921250447,COVID_vs_Normal
Plasma cells,108,5.180842700160415,3.0711009325378976e-12,COVID_vs_Normal
Proliferating (Immune),6,2.862924814798839,0.003641768716324518,COVID_vs_Normal
Proximal Epithelium,93,3.6599123761059555,0.0024787039534736348,COVID_vs_Normal
Smooth Muscle,12,2.568522698691699,0.006051136588062928,COVID_vs_Normal
AT1,64,4.483527947359993,0.00013224004567905464,COVID_vs_IPF
AT2,51,5.326003405144211,0.00011944819374535018,COVID_vs_IPF
Airway Epithelium,48,3.9743229245167235,0.002761597527980554,COVID_vs_IPF
Alveolar Epithelium,9,3.8830740708991334,0.009517155291816525,COVID_vs_IPF
B cells,21,3.750095072152346,0.00540094495550234,COVID_vs_IPF
CD4+ T cells,110,4.988141767433899,0.00010001318709120907,COVID_vs_IPF
CD8+ T cells,28,5.411985676774874,6.244385463637439e-06,COVID_vs_IPF
Cycling NK/T cells,31,5.048670774894876,6.260392800005946e-05,COVID_vs_IPF
Dendritic cells,2,2.914177133134431,0.0009899447843207889,COVID_vs_IPF
Distal Epithelium,8,3.479997442517512,0.017764671468857365,COVID_vs_IPF
Endothelial,60,3.4765160444822425,0.0017253983608568643,COVID_vs_IPF
Endothelial (Macro),9,-2.124175536503179,0.06065556123195558,COVID_vs_IPF
Endothelial (Micro),1,-4.4091968961167725,0.0396575620479919,COVID_vs_IPF
Fibroblasts,274,4.92092818020888,4.214961547324331e-05,COVID_vs_IPF
Lymphatic EC,21,2.7876776390847797,0.006679137209646219,COVID_vs_IPF
Lymphoid,110,2.9193009011902142,0.00535543143866932,COVID_vs_IPF
Macrophages,233,5.248842178150806,4.361517188876761e-06,COVID_vs_IPF
Mast cells,7,4.28988053171457,0.000589884552966544,COVID_vs_IPF
Mesothelial,1,-2.6035718925104847,0.06720457127978478,COVID_vs_IPF
Monocytes,21,4.1891999462446865,3.3839245810180397e-06,COVID_vs_IPF
Myeloid,169,1.403925480689734,0.02680894002314581,COVID_vs_IPF
NK cells,17,4.217707243943989,2.2218407195805743e-05,COVID_vs_IPF
Neuronal,14,4.426049667801316,9.295424515749846e-05,COVID_vs_IPF
