logFC,pval,nhood_annotation,contrast,SpatialFDR
3.293578894562023,1.205497041607208e-05,Proximal Epithelium,IPF_vs_Normal,8.381468420329684e-05
1.462475904450184,0.001796780095810714,Proximal Epithelium,IPF_vs_Normal,0.005867105436625727
-0.167409642568875,0.7125808777672871,Lymphoid,IPF_vs_Normal,0.8980881189314719
3.982217906498516,5.366292385821908e-08,Endothelial (Macro),IPF_vs_Normal,1.2201821140323983e-06
-0.9358487773484406,0.15806531478594932,Lymphoid,IPF_vs_Normal,0.2393599541958325
-32.23579212601923,0.9985274299251929,Myeloid,IPF_vs_Normal,0.999127929492261
-3.499070568927853,0.020389173343648377,Fibroblasts,IPF_vs_Normal,0.039555299436493545
1.0159627660157537,0.06653221046888468,Myeloid,IPF_vs_Normal,0.11050830887626131
1.5798885036187846,0.010053499798684482,Proximal Epithelium,IPF_vs_Normal,0.02213509392050766
-1.468301261366787,0.020390522807044776,Myeloid,IPF_vs_Normal,0.039555299436493545
-4.3410489872617255,0.003156987962961315,Myeloid,IPF_vs_Normal,0.009156691442571079
0.1819936252188902,0.7200700184240567,Lymphatic EC,IPF_vs_Normal,0.9064532639276364
-32.96394469531275,0.9987943685094253,Macrophages,IPF_vs_Normal,0.999127929492261
-3.159928656467977,0.0004556586415438798,Myeloid,IPF_vs_Normal,0.0018707162177560397
-0.7145522634247198,0.1927992452938233,Distal Epithelium,IPF_vs_Normal,0.28551485314215636
3.0144387380157878,4.464070245398275e-06,Proximal Epithelium,IPF_vs_Normal,3.6961964254568086e-05
3.6129622900486185,2.87054832179928e-12,Proximal Epithelium,IPF_vs_Normal,5.473652488072508e-10
-3.4280728431245056,0.02167259532528037,Alveolar Epithelium,IPF_vs_Normal,0.04163101070911377
-1.375431185724627,0.028133147052971326,Myeloid,IPF_vs_Normal,0.052047673303859246
1.5679603675739897,0.007525212474481677,Lymphoid,IPF_vs_Normal,0.017766858272671885
5.242137120122239,3.0473224937567085e-09,Myeloid,IPF_vs_Normal,1.301294543398236e-07
-3.3226466923591937,0.001927493855169335,Lymphoid,IPF_vs_Normal,0.006215941754304458
-3.9745772394774574,0.00740890433652084,Myeloid,IPF_vs_Normal,0.017548651902232794
3.5859642874493662,1.2327434184295752e-07,Myeloid,IPF_vs_Normal,2.3604681048480265e-06
1.9736446324245487,0.00022198031262204174,Proximal Epithelium,IPF_vs_Normal,0.0010037846538595685
-1.7856964539578568,0.03078654373097404,Alveolar Epithelium,IPF_vs_Normal,0.05623603517363066
1.8109413160725698,0.0041142404970900765,Proximal Epithelium,IPF_vs_Normal,0.011274353690019605
2.0362694450442764,6.639079945853058e-05,Proximal Epithelium,IPF_vs_Normal,0.0003531125122264127
-1.2935230739991095,0.25548330653203544,CD8+ T cells,IPF_vs_Normal,0.3659071168662505
-1.03816362125881,0.13229912935536367,Alveolar Epithelium,IPF_vs_Normal,0.2040644667831931
2.094215496057991,2.8515801930216315e-06,Proximal Epithelium,IPF_vs_Normal,2.6101988088119584e-05
,,Myeloid,IPF_vs_Normal,
-34.06689734053013,0.998809891404946,Airway Epithelium,IPF_vs_Normal,0.999127929492261
-0.9649910857436184,0.16266922289319774,Airway Epithelium,IPF_vs_Normal,0.24550165063083576
-0.7131618306781482,0.3020101737510038,Airway Epithelium,IPF_vs_Normal,0.42489691988242984
-33.59790115451448,0.998956557815478,Myeloid,IPF_vs_Normal,0.999127929492261
-2.408917939196021,3.1941957667380604e-06,Myeloid,IPF_vs_Normal,2.8414326222451873e-05
1.8909859493796075,1.293033654422709e-05,Proximal Epithelium,IPF_vs_Normal,8.903301805694298e-05
-32.6326304576024,0.9984166252929663,Lymphoid,IPF_vs_Normal,0.999127929492261
-32.71741796252809,0.9986675060854845,Airway Epithelium,IPF_vs_Normal,0.999127929492261
-3.541632395057487,0.0010400184295316075,Endothelial,IPF_vs_Normal,0.0037515854906067106
4.892851735652046,8.700492761773476e-06,Myeloid,IPF_vs_Normal,6.418484656285444e-05
-2.76593187067078,0.011161117036350253,Fibroblasts,IPF_vs_Normal,0.024000888008382036
0.23554497312572595,0.696619318423249,Distal Epithelium,IPF_vs_Normal,0.8811877718916982
5.295747113428602,9.310473208576628e-07,Endothelial (Macro),IPF_vs_Normal,1.1041281005171014e-05
4.093182210395781,1.8204433165163316e-08,Endothelial (Macro),IPF_vs_Normal,5.31210876254364e-07
2.503421036645103,4.836521380763516e-07,Endothelial (Macro),IPF_vs_Normal,6.757369238462867e-06
,,Myeloid,IPF_vs_Normal,
-2.226281416264284,0.04318993084870689,CD4+ T cells,IPF_vs_Normal,0.07557649265993513
-32.58119011119708,0.9987165725529193,Airway Epithelium,IPF_vs_Normal,0.999127929492261
3.5067563490564604,2.2006858226237703e-06,Lymphoid,IPF_vs_Normal,2.1308701989900047e-05
-3.076895035375959,0.039769638612796206,Plasma cells,IPF_vs_Normal,0.07020380110392686
-0.21118479973538992,0.7131483786249708,Myeloid,IPF_vs_Normal,0.8986798811711256
-0.26333088772132446,0.6341122276157555,Myeloid,IPF_vs_Normal,0.8121545116480571
-1.7523225416161845,0.020577423897354803,Myeloid,IPF_vs_Normal,0.03987328773912427
-2.911780561756731,0.006889790498034387,AT1,IPF_vs_Normal,0.016634132531232828
-1.701976370961549,0.022692744097526342,Distal Epithelium,IPF_vs_Normal,0.043271243423194036
5.947514258352285,6.296299943290319e-05,Proximal Epithelium,IPF_vs_Normal,0.0003369281483962997
0.3659979887053682,0.5342392907991294,Lymphoid,IPF_vs_Normal,0.7005456867638342
-1.0393945645691829,0.13455744043100062,Lymphoid,IPF_vs_Normal,0.20716617997127196
-32.75194522920485,0.9985427190532278,Airway Epithelium,IPF_vs_Normal,0.999127929492261
2.559640519395714,3.7492990897879137e-06,Myeloid,IPF_vs_Normal,3.2213495278025804e-05
-2.40341441905753,5.37677669901147e-05,Distal Epithelium,IPF_vs_Normal,0.0002945734430138407
5.139652644772679,2.0896489979908405e-06,Proximal Epithelium,IPF_vs_Normal,2.0491115097915273e-05
-2.637361185418407,0.0030954358124604484,Airway Epithelium,IPF_vs_Normal,0.009027104529402754
-3.2006258347678394,0.0033500361245199354,Alveolar Epithelium,IPF_vs_Normal,0.009615252715667577
4.358137917006712,3.3003730499756945e-08,Proximal Epithelium,IPF_vs_Normal,8.385472898348536e-07
-33.146415981167074,0.9986284333430728,Lymphoid,IPF_vs_Normal,0.999127929492261
1.2125921073093726,0.031888692638215706,Airway Epithelium,IPF_vs_Normal,0.05794361086134506
-3.6340004527895746,0.0007698011717308813,Airway Epithelium,IPF_vs_Normal,0.0029218763828074584
-33.90558642942938,0.9988347877081771,Airway Epithelium,IPF_vs_Normal,0.999127929492261
1.7661348017235041,0.00014290844530046338,Myeloid,IPF_vs_Normal,0.0006831158471187948
-32.70280336368672,0.9984870649454104,Airway Epithelium,IPF_vs_Normal,0.999127929492261
2.932150773995649,3.022993826839942e-05,Proximal Epithelium,IPF_vs_Normal,0.00018170985677624983
-1.1037390102375813,0.1477179554933244,Lymphoid,IPF_vs_Normal,0.22530293061265025
-1.866786051285733,0.021505089540011096,Lymphoid,IPF_vs_Normal,0.04137527666843893
1.0736605292060684,0.044133735232710476,Smooth Muscle,IPF_vs_Normal,0.07697623680916238
-1.4549648226480296,0.11457083761055918,Endothelial,IPF_vs_Normal,0.17930438497820245
1.5781777320031292,0.01914657517774757,CD4+ T cells,IPF_vs_Normal,0.03750064998965122
1.7716034327546324,0.0014606845728242443,Pericyte,IPF_vs_Normal,0.004961432837393673
-3.9229355843710705,7.609416568226088e-06,Myeloid,IPF_vs_Normal,5.717899090420063e-05
2.5546320506792983,3.355924151396577e-06,Myeloid,IPF_vs_Normal,2.9606845273360824e-05
-1.5611040899698405,0.32110283761454106,Mast cells,IPF_vs_Normal,0.4482870278810037
-1.8020836250561303,0.003570919798801519,Airway Epithelium,IPF_vs_Normal,0.010126983419985046
0.25879450420883254,0.6487831325610747,Distal Epithelium,IPF_vs_Normal,0.827971264329318
