gene,spearman_r,pval
PEBP4,0.5491100994305415,0.0
NAPSA,0.5456698378079055,0.0
SFTPC,0.5452161482689726,0.0
ABCA3,0.5318688399595055,0.0
LRRK2,0.5185247836025704,0.0
CLDN18,0.5174298298049385,0.0
SFTPD,0.5142664510868931,0.0
SFTPB,0.504882278186177,0.0
LAMP3,0.5015360579168873,0.0
SFTPA1,0.4966031347869794,0.0
PGC,0.4953612111411227,0.0
LPCAT1,0.48048505745582304,0.0
SLC39A8,0.47654635467538675,0.0
SLC34A2,0.47318512955810027,0.0
SFTPA2,0.470437182129429,0.0
SFTA2,0.45476284494751795,0.0
SFTA3,0.4351359367252894,0.0
PLA2G1B,0.4315430727272421,0.0
HOPX,0.4288017183580446,0.0
HHIP,0.40956306307915996,0.0
TTN,0.40845048159406305,0.0
C4BPA,0.4076782084624413,0.0
WIF1,0.39381574008266357,0.0
AQP1,0.3900178999540756,0.0
COL8A1,0.3668597614109424,0.0
HSD17B6,0.35823900986738183,0.0
GKN2,0.35329191401107857,0.0
CTSH,0.3468573042218338,0.0
SLC22A31,0.3449744227771521,0.0
AGER,0.3439679041746645,0.0
C11orf96,0.34333063627462673,0.0
SCD,0.3389307437343791,0.0
TMEM163,0.33560807882799887,0.0
CA2,0.33204043729846394,0.0
SUSD2,0.32827597499592964,0.0
AQP4,0.31838604192702014,0.0
SERPINA1,0.30976549962604394,0.0
ACOXL,0.3071187159467849,0.0
SOD3,0.30494924334520107,0.0
ICAM1,0.288512929916392,0.0
AFF3,0.28007617392558304,0.0
WSB1,0.278587646865999,0.0
TFPI,0.27381499121418096,0.0
CHI3L2,0.26741779832102586,0.0
GPC5,0.2629758593526936,0.0
RNASE1,0.2628594578758893,0.0
AK1,0.26132003465903736,0.0
PEG10,0.258291442595928,0.0
NDNF,0.25431178734954335,0.0
NEDD4L,0.248921504993393,0.0
NNMT,0.22979007144514935,0.0
SFTA1P,0.2099526147133072,0.0
FGG,0.2070349769502348,1.81802125508347e-310
COL4A2,0.20554462377942392,6.010110951034936e-306
ERBB4,0.2004509378081154,9.065028991894926e-291
SCEL,0.19820047078762124,3.405325643370752e-284
CAV1,0.19369599570008225,2.8283672647676535e-271
CLIC3,0.1932514197975105,5.120225793089284e-270
TNNC1,0.1911879547087094,3.2090232532302376e-264
AREG,0.189721907429983,3.841165446227186e-260
NTM,0.1896291558456141,6.939626097757564e-260
PTPRG,0.18776889972564326,9.222085760818072e-255
CLIC5,0.18675154034295438,5.545472316912806e-252
DLG2,0.18606756038505123,4.01119209203719e-250
FAM177A1,0.18280638307803426,2.3346048715800338e-241
SPOCK2,0.1769533141144119,4.842582134205489e-226
ENSG00000235584,0.1721840149395914,5.949382171386825e-214
FN1,0.1712268963169402,1.4402822495598894e-211
CD47,0.16925287907216388,1.073759067275172e-206
ST6GALNAC5,0.16877596027121525,1.5817087286906126e-205
AGR3,0.16781295590909914,3.527009926339145e-203
COL4A1,0.16724502441038921,8.426629941891224e-202
DHCR24,0.1658915025313261,1.5505553480105588e-198
DMBT1,0.16470124216194099,1.0924621030888998e-195
EMP2,0.16363548331821395,3.716228470450949e-193
ANKRD1,0.15748169413708804,7.089186704259022e-179
BRI3,0.15675994337559726,3.075142562506753e-177
RTKN2,0.15594331394845973,2.1422070057045674e-175
LIMASI,0.15527951001092513,6.630228357311936e-174
NPC2,0.15517414930420878,1.1416129346145688e-173
NCKAP5,0.15303811235038944,6.393674701819031e-169
ENSG00000233635,0.15075345574490023,6.430332402017742e-164
DMKN,0.15025159292191886,7.881133099106372e-163
LRRC23,0.1491342007795297,2.023955648393349e-160
CYSTM1,0.14852590055252338,4.0746682252659464e-159
COL12A1,0.14618979085800063,3.680815270036177e-154
LHFPL3,0.1432379533006997,5.14192637077876e-148
ABCA8,0.14147799395007493,2.056231541857112e-144
ODAM,0.14059859536015176,1.2460651775064359e-142
ITLN2,0.14015047112149132,9.98660476145049e-142
C16orf89,0.13993411958886187,2.7210277388925965e-141
KCNT2,0.13937377324309097,3.6220094018876983e-140
CKB,0.13875785972051827,6.155406660838092e-139
ENSG00000255580,0.13838045154958578,3.470181824490728e-138
ATP13A4-AS1,0.1383467457581731,4.04881962706922e-138
SCGB3A2,0.13624234834516982,5.695003696801653e-134
HMOX1,0.13574522458178895,5.318787837477438e-133
TPPP3,0.13556053070294352,1.2172383009786597e-132
SELENOP,0.13447126274018054,1.5691822901117138e-130
PKDCC,0.13225200336521198,2.758979405503593e-126
NUPR1,0.132141578100819,4.4675447896784417e-126
JUND,0.12979156401947095,1.1533570871292907e-121
SAMD4A,0.1294138988534473,5.799322090869027e-121
ANKUB1,0.12813415455991659,1.3320158889148785e-118
CD83,0.12643482041562148,1.6689921792263715e-115
KLF6,0.12643039492681982,1.7000690582024096e-115
UNC13D,0.1240653580303507,2.9585075500587126e-111
TSPAN3,0.12369645080574163,1.3338895818503087e-110
CIMAP3,0.12254118935286025,1.4467087402094227e-108
NEAT1,0.12219629952750263,5.810115730434206e-108
NRG3,0.12217471005449784,6.337583651696011e-108
DLGAP1,0.11953033614056231,2.3585117612643627e-103
DDX17,0.11945983458509409,3.112394173453608e-103
TUBA1A,0.11613101195014773,1.2525121233132792e-97
DNAH11,0.11432548134466336,1.1747906210155351e-94
ENSG00000237654,0.1142971201076745,1.30697616445872e-94
CHRDL2,0.11248302477969592,1.1320778532018502e-91
STAT3,0.11236470596867897,1.753096578294457e-91
ENSG00000254604,0.11140508327599176,5.979841793719177e-90
CDHR3,0.11105642441830535,2.1394828225082605e-89
DNALI1,0.11092473472594838,3.459012686960635e-89
ANXA4,0.11079270700454952,5.5959986309488594e-89
RFX2,0.1103980074345561,2.3493692379317456e-88
ENSG00000258234,0.10983149599345335,1.8250936871725493e-87
STOM,0.10842250749793413,2.853774667508739e-85
LMO7,0.10812289980053694,8.284381934933501e-85
CD46,0.10667941998355158,1.3486627721871567e-82
MS4A15,0.10666438336501174,1.421617163470158e-82
ENSG00000259351,0.10559216836845235,5.967264462632205e-81
GADD45B,0.10441545818834995,3.449435806765346e-79
CIMIP2B,0.10293653169665984,5.294091202724823e-77
MUC1,0.10152822019181187,5.970621296829448e-75
WDR38,0.1012102246980517,1.7196474971656123e-74
LINC01610,0.10107580053515566,2.6866260952208126e-74
RP1,0.10088987100847081,4.9749367886843004e-74
TCIM,0.10060720477244607,1.2665690943911012e-73
GPRC5A,0.10018310670111119,5.1211335634940076e-73
CIBAR2,0.09978504058987349,1.8901472915070793e-72
CFAP90,0.09965073368094883,2.933105813775479e-72
FAM216B,0.09904507996039341,2.1117540248771863e-71
C11orf97,0.09893627046291367,3.0067966738751497e-71
RSPH9,0.09836299227879548,1.922253019238776e-70
DYNLRB2,0.09833618782784605,2.0958800200499438e-70
DNAH12,0.09801322388555135,5.930041835006224e-70
ROPN1L,0.0978467381171237,1.0123102380605043e-69
MORN5,0.09783513561143228,1.0507146532385283e-69
ZMYND10,0.09774910050072098,1.3846399553687412e-69
DBI,0.09727626794575456,6.282242026951376e-69
FOXJ1,0.09623435079312416,1.7139002983020424e-67
CFAP126,0.09621582652772478,1.8170727506760648e-67
CFAP210,0.09560993290829026,1.221796047383213e-66
