gene,spearman_r,pval
MDK,0.5864454912876398,0.0
AQP5,0.578714311942992,0.0
PRSS23,0.5397080201376412,0.0
VMO1,0.5236305216864108,0.0
SERPINB3,0.49483536176380283,0.0
LY6E,0.4917304768951333,0.0
KRT19,0.48854040533690085,0.0
LCN2,0.4833377867785923,0.0
KLK11,0.47860228944758454,0.0
BPIFB1,0.47487983004006734,0.0
FAM3D,0.4712396002148882,0.0
PERP,0.46855966091123924,0.0
TACSTD2,0.4674721206422999,0.0
S100A2,0.45869796161003823,0.0
TSPAN8,0.45866807436206647,0.0
SERPINF1,0.45776776473236963,0.0
ALDH1A1,0.4566525816589532,0.0
ADH1C,0.45620757193225264,0.0
S100P,0.4486787263567407,0.0
MSMB,0.44206252405781526,0.0
ALDH3A1,0.43844479572585043,0.0
CYP2F1,0.43406910923524783,0.0
CYBA,0.4295426889974844,0.0
GLUL,0.42935060180673273,0.0
TIMP1,0.4200365069467377,0.0
WFDC2,0.413387193442628,0.0
LY6D,0.41047330805460147,0.0
AKR1C2,0.39967608185911446,0.0
DDIT4,0.3974526675708708,0.0
CP,0.39718481724596777,0.0
KRT5,0.3901011368750383,0.0
AGR2,0.3895166142601559,0.0
ADH7,0.38751301730325244,0.0
KRT17,0.38232250173717175,0.0
FXYD3,0.38179196410114463,0.0
PKM,0.37810544725637624,0.0
PLPP2,0.3772653159540215,0.0
HSPB1,0.36948253625171523,0.0
PI3,0.36826097134158503,0.0
NTS,0.36688750404549264,0.0
LYPD2,0.3636635562476604,0.0
TSPAN1,0.35785327103184095,0.0
CLU,0.35248098402672495,0.0
NDRG2,0.34934882044577165,0.0
AQP3,0.3473270539881752,0.0
SERPINB4,0.34443384498917656,0.0
MT1X,0.34407875621437856,0.0
KRT15,0.341896644524264,0.0
CXCL1,0.33884057499045905,0.0
HLA-A,0.3314542236088421,0.0
ALDOA,0.3309245443933253,0.0
FMO2,0.3305318723503951,0.0
TMEM45A,0.3288154936223565,0.0
BPIFA1,0.3273136198135586,0.0
CXCL6,0.3263985828404674,0.0
PSCA,0.32516712338821724,0.0
RARRES1,0.3199287164628077,0.0
BTF3,0.31827251760089814,0.0
SOX4,0.3169970144339822,0.0
MUC5AC,0.31493180867589227,0.0
PABPC1,0.31336488002514046,0.0
CLEC2B,0.3108772045269421,0.0
BBLN,0.31082744422814096,0.0
SAA1,0.3080720052553469,0.0
MUC5B,0.30464820285650485,0.0
HES1,0.3024153227236484,0.0
GSTA1,0.30240364342109155,0.0
LGALS7B,0.3014417770814684,0.0
LYNX1,0.3003016154114846,0.0
KRT4,0.29869294966763954,0.0
CEACAM5,0.2967560045620833,0.0
ADIRF,0.2962583936498843,0.0
KRT6A,0.28835715883091995,0.0
MMP10,0.28457818560780906,0.0
SCGB1A1,0.2780456764267462,0.0
RPL7,0.27548779029060866,0.0
FBLN1,0.2749370670196633,0.0
MUC16,0.2718109445979541,0.0
TCN1,0.2717307412022844,0.0
C15orf48,0.26751812145232856,0.0
SCGB3A1,0.2664752570205116,0.0
TMEM59,0.2631667441554724,0.0
ELF3,0.26179300745260786,0.0
RPL31,0.26043457673163467,0.0
CHST9,0.2553956317871506,0.0
SPARCL1,0.2547573311317123,0.0
KRT18,0.2536412244848808,0.0
GSN,0.2531991435592557,0.0
PSME2,0.25085312277982036,0.0
ANXA1,0.2507694964900772,0.0
S100A9,0.25020766083268287,0.0
RPL27A,0.24958776225511967,0.0
EID1,0.24817843653726712,0.0
S100A4,0.24732036646548666,0.0
SAA2,0.24393024516214842,0.0
RIMS1,0.2436126634744658,0.0
DHRS9,0.2435458681164984,0.0
ANKRD36C,0.24342489346483234,0.0
EIF3K,0.24340816400670504,0.0
FCGBP,0.24265915040420685,0.0
DUSP23,0.24254689265115892,0.0
IGFBP2,0.241781941062527,0.0
EPAS1,0.24100990492057775,0.0
EEF1D,0.23838667197135013,0.0
TFF3,0.23733846210436288,0.0
RPS17,0.23662579430602795,0.0
S100A8,0.23609481908168045,0.0
MMP7,0.2352886861253047,0.0
PRKAR2B,0.23527754957502192,0.0
F3,0.2316773045536329,0.0
LTF,0.231553732816889,0.0
SLC25A6,0.2310882125205788,0.0
C19orf33,0.23005631872565843,0.0
HIGD2A,0.22969101887656174,0.0
RPL27,0.2294490562747386,0.0
RPS29,0.22896274134124225,0.0
RPL4,0.22869368615349497,0.0
ATP5MC3,0.22845358966191587,0.0
FTH1,0.22833718339259387,0.0
CHCHD10,0.22785860772187583,0.0
CXCL8,0.22593098115793486,0.0
UQCRH,0.2231313994441604,0.0
TPI1,0.2224037019724756,0.0
DUSP2,0.21845043566808675,0.0
POMP,0.2176520074357382,0.0
COX6B1,0.21656201016016516,0.0
KRT10,0.21385830333908493,0.0
DLK2,0.21212156401095592,0.0
ATP5F1B,0.2116627688870093,0.0
RPS11,0.2113676772090542,0.0
KRT14,0.20948859304459247,0.0
KRT13,0.2094492853766503,0.0
YBX1,0.20899214572589822,0.0
ATP6V1G1,0.208798285723917,0.0
IFI27,0.2087215909041334,0.0
PSME1,0.20828783867171677,0.0
SPRR3,0.2082195163485331,0.0
CFL1,0.20797462006515366,0.0
HCAR3,0.20667566574487709,2.25116641627932e-309
SCPEP1,0.20666000422854855,2.511849128757643e-309
CYP26A1,0.20582875428382252,8.318325741770852e-307
NDUFA1,0.2044510441941684,1.1815158021729627e-302
SH3BGRL3,0.20262630813409457,3.354179959167034e-297
PRDX2,0.2025266252006535,6.636778557492128e-297
KRT7,0.20187068297459765,5.864367809589519e-295
ATP5F1A,0.20127666315276657,3.3485098074206266e-293
