gene,spearman_r,pval
PEBP4,0.5503500725818562,0.0
NAPSA,0.5445075361252089,0.0
SFTPC,0.5427145804000503,0.0
ABCA3,0.5321258235296478,0.0
CLDN18,0.5178053781528013,0.0
LRRK2,0.5167831128406507,0.0
SFTPD,0.5125094200291073,0.0
SFTPB,0.510962131938096,0.0
LAMP3,0.49967853877662904,0.0
SFTPA1,0.4946524230227645,0.0
PGC,0.4935184850163619,0.0
LPCAT1,0.4819454460410581,0.0
SLC39A8,0.4810683535599099,0.0
SLC34A2,0.471290942500781,0.0
SFTPA2,0.46806982216860976,0.0
SFTA2,0.4529144042645401,0.0
SFTA3,0.43872287184823916,0.0
PLA2G1B,0.43014182040518567,0.0
HOPX,0.4290549776034807,0.0
C4BPA,0.40842510108471763,0.0
HHIP,0.4081849248049565,0.0
TTN,0.4077547921770052,0.0
WIF1,0.39245712575092695,0.0
AQP1,0.3887967879154922,0.0
COL8A1,0.3735384654485238,0.0
HSD17B6,0.3573334668000947,0.0
GKN2,0.3519465090282068,0.0
AGER,0.3440337476237443,0.0
SLC22A31,0.34401319651764495,0.0
CTSH,0.34278004626567843,0.0
C11orf96,0.34196164824682784,0.0
SCD,0.33685632331690807,0.0
TMEM163,0.3349649549171846,0.0
CA2,0.3307086328328837,0.0
SUSD2,0.3270942574319257,0.0
AQP4,0.31830492375026576,0.0
SERPINA1,0.3070663757846887,0.0
ACOXL,0.3063441119643853,0.0
SOD3,0.3032178178327115,0.0
ICAM1,0.2884375023730699,0.0
WSB1,0.2816852206820135,0.0
AFF3,0.2791337482619223,0.0
GPC5,0.2780818986254238,0.0
TFPI,0.2712208761904929,0.0
CHI3L2,0.26639047803528093,0.0
RNASE1,0.26038050979932065,0.0
AK1,0.2585114038091632,0.0
PEG10,0.2573335687221531,0.0
NDNF,0.25677088440686613,0.0
NEDD4L,0.2547462020144704,0.0
NNMT,0.2281668203000626,0.0
COL4A2,0.2137268610289775,0.0
SFTA1P,0.21003921840488643,0.0
SCEL,0.20656023427903938,5.04710647686177e-309
FGG,0.20631868780773835,2.7294502176320763e-308
NTM,0.20291876472907638,4.5202296838848806e-298
ERBB4,0.20128271732860448,3.213486632360027e-293
CLIC5,0.19875830492651628,8.126688207137359e-286
CAV1,0.19770563697278867,9.269787679584733e-283
CLIC3,0.19159851284943785,2.2818334651212538e-265
TNNC1,0.19028951667799618,1.022227387404652e-261
PTPRG,0.19013144990211717,2.8095344561454496e-261
DLG2,0.18863218940197696,3.925561976718393e-257
AREG,0.18797353380442205,2.5344206542806127e-255
ST6GALNAC5,0.18411574560549027,7.395822172951848e-245
SPOCK2,0.18035752398234955,6.937606371974701e-235
FAM177A1,0.1802779589447638,1.1219175631809026e-234
COL4A1,0.17668853020296632,2.3198203682921783e-225
CD47,0.17246594143989002,1.17373712574162e-214
ENSG00000235584,0.17155512776511064,2.2002848868413688e-212
FN1,0.17114971975187296,2.2390559531123275e-211
EMP2,0.16904386359056658,3.493993807953397e-206
NCKAP5,0.16832935922638942,1.9495079798533784e-204
AGR3,0.16571537443464643,4.104583932340009e-198
RTKN2,0.16520726270378244,6.765489233549642e-197
DHCR24,0.16485763751683166,4.62843978913669e-196
DMBT1,0.1632972778474525,2.3436257875845483e-192
ANKRD1,0.16128252614630612,1.2539799463632398e-187
LIMASI,0.1596634236860824,7.13579469231657e-184
BRI3,0.1545976894453897,2.2167914329145744e-172
ENSG00000233635,0.1540152872647471,4.386474814762183e-171
COL12A1,0.1538823934080258,8.653899265799035e-171
NPC2,0.1500793154692607,1.859181245028572e-162
ABCA8,0.1496479800112486,1.5870342239725968e-161
KCNT2,0.1483605852079536,9.193600392618012e-159
LRRC23,0.14777735607311226,1.610550824651226e-157
DMKN,0.14774640289914276,1.8742449190975878e-157
CYSTM1,0.14601572900253296,8.54922046481821e-154
ENSG00000255580,0.142858384181109,3.1036032163071186e-147
LHFPL3,0.14249523986354143,1.7250757153063694e-146
ITLN2,0.14135729206391656,3.61749229893654e-144
ODAM,0.14006111510876218,1.5111000596716492e-141
PKDCC,0.13912396296159463,1.1445489239906562e-139
SAMD4A,0.13893814332253912,2.6897933376625363e-139
ATP13A4-AS1,0.13775199592687756,6.114570554845294e-137
C16orf89,0.13750586913610255,1.873920855378976e-136
CKB,0.13559920440570303,1.0235931298677379e-132
NRG3,0.1349266164904645,2.068391723883866e-131
HMOX1,0.13459792535242462,8.936907574329887e-131
SCGB3A2,0.1342087362900809,5.03093359150998e-130
TPPP3,0.13293574167179312,1.3824382939254694e-127
SELENOP,0.13088724441582675,1.0353864207299498e-123
NUPR1,0.1287343256925011,1.0476140893910882e-119
ANKUB1,0.12849889917762447,2.84457188409244e-119
JUND,0.1278052612514749,5.3384557125633884e-118
NEAT1,0.1275965955590168,1.2855862295208953e-117
UNC13D,0.12685675574186345,2.8656522375105035e-116
KLF6,0.12661628009377002,7.828465417194175e-116
CD83,0.12597442613871332,1.133556747858044e-114
ENSG00000237654,0.1257705100339545,2.6420880633918576e-114
TSPAN3,0.12187124778476728,2.146145034530619e-107
DLGAP1,0.12062614733100259,3.097470995689595e-105
DDX17,0.12023730024532739,1.4478251938866918e-104
CIMAP3,0.11997225522068038,4.129820128160997e-104
DNAH11,0.11590020792166507,3.0225608812755427e-97
LMO7,0.11483808029474549,1.7020946962470516e-95
ENSG00000254604,0.11413020081507551,2.4466371217927505e-94
TUBA1A,0.11341309107196118,3.5792613787483644e-93
CHRDL2,0.1120554168540117,5.48686109487232e-91
RFX2,0.11121939510884059,1.1796566023322106e-89
STAT3,0.11101567747966595,2.4825238929436782e-89
ENSG00000258234,0.11041881547797537,2.1785135786363877e-88
MS4A15,0.10981527498674325,1.935126940113726e-87
ANXA4,0.10972447495940281,2.6850716843584593e-87
CDHR3,0.10934642698278281,1.0469187781966634e-86
ENSG00000259351,0.10900227543044626,3.598127452207807e-86
DNALI1,0.10851745774401489,2.0345401390590154e-85
STOM,0.10643193000493165,3.2067087087152584e-82
CD46,0.10541308529705334,1.1097485386572865e-80
GPRC5A,0.10411515854135767,9.642583705161053e-79
LINC01610,0.10177979605025274,2.579420699305968e-75
GADD45B,0.10164698731990728,4.018436219027048e-75
CIMIP2B,0.10095138276555564,4.058058469828134e-74
RP1,0.10083615753851928,5.942869650080769e-74
WDR38,0.09923544157347945,1.1369815002586536e-71
